2343,r???b402.7344,748.7632
80362571,2.2435,3769.5313,8456.7715
80362610,2.1907,3808.5938,8343.3613
80362649,2.3490,3759.7656,8831.7979
80362687,2.3226,3798.8281,8823.2920
80362726,2.4018,3745.1172,8995.0820
80362764,2.4546,3784.1797,9288.6582
80362803,2.3226,3764.6484,8743.9053
80362842,2.2962,3803.7109,8734.2393
80362880,2.2698,3769.5313,8556.2627
80362918,2.2962,3789.0625,8700.6025
80362956,2.2698,3774.4141,8567.3457
80362995,2.2435,3798.8281,8522.4980
80363033,2.2171,3769.5313,8357.2803
80363072,2.2435,3784.1797,8489.6348
80363111,2.2698,3769.5313,8556.2627
80363149,2.2698,3803.7109,8633.8447
80363188,2.2962,3764.6484,8644.5420
80363226,2.3226,3798.8281,8823.2920
80363265,2.2435,3774.4141,8467.7256
80363302,2.2962,3798.8281,8723.0273
80363341,2.2698,3759.7656,8534.0957
80363380,2.2962,3784.1797,8689.3906
80363418,2.2171,3779.2969,8378.9307
80363457,2.3226,3808.5938,8845.9736
80363495,2.4282,3779.2969,9176.9248
80363534,2.3490,3784.1797,8889.1475
80363572,2.3226,3779.2969,8777.9277
80363611,2.4018,3774.4141,9065.4473
80363650,2.4018,3769.5313,9053.7197
80363687,2.3754,3769.5313,8954.2285
80363726,2.4018,3769.5313,9053.7197
80363764,2.3490,3793.9453,8912.0869
80363803,2.2698,3774.4141,8567.3457
80363842,2.2435,3784.1797,8489.6348
80363880,2.1907,3789.0625,8300.5752
80363919,2.1379,3803.7109,8131.8779
80363957,2.1643,3793.9453,8211.1357
80363996,2.1379,3793.9453,8111.0000
80364034,2.1379,3798.8281,8121.4390
80364072,2.2698,3803.7109,8633.8447
80364111,2.2962,3793.9453,8711.8145
80364149,2.2435,3803.7109,8533.4521
80364188,2.2962,3779.2969,8678.1787
80364226,2.4018,3774.4141,9065.4473
80364265,2.3490,3764.6484,8843.2676
80364303,2.5338,3784.1797,9588.2930
80364342,2.5074,3764.6484,9439.4424
80364381,2.4810,3774.4141,9364.3086
80364419,2.2698,3764.6484,8545.1797
80364457,2.3226,3789.0625,8800.6094
80364495,2.3490,3764.6484,8843.2676
80364534,2.3490,3779.2969,8877.6777
80364573,2.2698,3779.2969,8578.4287
80364611,2.2171,3789.0625,8400.5820
80364650,2.1907,3793.9453,8311.2715
80364688,2.2171,3798.8281,8422.2334
80364727,2.2435,3789.0625,8500.5889
80364765,2.2962,3793.9453,8711.8145
80364804,2.3226,3759.7656,8732.5635
80364843,2.3226,3793.9453,8811.9512
80364880,2.3754,3759.7656,8931.0313
80364919,2.4282,3784.1797,9188.7813
80364957,2.2698,3745.1172,8500.8467
80364996,2.2962,3793.9453,8711.8145
80365034,2.3754,3759.7656,8931.0313
80365073,2.2962,3789.0625,8700.6025
80365112,2.3490,3754.8828,8820.3281
80365150,2.2962,3784.1797,8689.3906
80365189,2.2962,3750.0000,8610.9053
80365227,2.2435,3798.8281,8522.4980
80365265,2.2698,3774.4141,8567.3457
80365304,2.2171,3793.9453,8411.4072
80365342,2.3754,3764.6484,8942.6299
80365381,2.2435,3784.1797,8489.6348
80365419,2.2962,3764.6484,8644.5420
80365458,2.2171,3793.9453,8411.4072
80365496,2.1907,3764.6484,8247.0918
80365535,2.1907,3798.8281,8321.9678
80365574,2.2171,3764.6484,8346.4541
80365612,2.2435,3798.8281,8522.4980
80365650,2.4546,3764.6484,9240.7168
80365688,2.2435,3803.7109,8533.4521
80365727,2.3754,3759.7656,8931.0313
80365765,2.3754,3793.9453,9012.2217
80365804,2.3754,3754.8828,8919.4326
80365843,2.2698,3784.1797,8589.5117
80365881,2.3490,3754.8828,8820.3281
80365920,2.3226,3789.0625,8800.6094
80365958,2.2435,3769.5313,8456.7715
80365997,2.2698,3808.5938,8644.9287
80366034,2.1643,3764.6484,8147.7300
80366073,2.2435,3808.5938,8544.4063
80366112,2.1379,3774.4141,8069.2446
80366150,2.1643,3793.9453,8211.1357
80366189,2.1907,3764.6484,8247.0918
80366227,2.3226,3759.7656,8732.5635
80366266,2.3490,3764.6484,8843.2676
80366305,2.3754,3793.9453,9012.2217
80366343,2.4018,3754.8828,9018.5371
80366382,2.4018,3779.2969,9077.1748
80366419,2.5074,3750.0000,9402.7139
80366458,2.4810,3779.2969,9376.4229
80366496,2.3754,3740.2344,8884.6357
80366535,2.3490,3784.1797,8889.1475
80366574,2.2698,3754.8828,8523.0127
80366612,2.2698,3793.9453,8611.6787
80366651,2.2698,3769.5313,8556.2627
80366689,2.3226,3784.1797,8789.2686
80366728,2.1643,3769.5313,8158.2974
80366766,2.2435,3798.8281,8522.4980
80366804,2.2698,3759.7656,8534.0957
80366843,2.1907,3798.8281,8321.9678
80366881,2.2171,3769.5313,8357.2803
80366920,2.2698,3798.8281,8622.7617
80366958,2.1643,3759.7656,8137.1621
80366997,2.2698,3793.9453,8611.6787
80367036,2.2962,3759.7656,8633.3301
80367074,2.3490,3769.5313,8854.7373
80367113,2.3754,3745.1172,8896.2344
80367151,2.4018,3769.5313,9053.7197
80367190,2.4018,3750.0000,9006.8096
80367227,2.3226,3779.2969,8777.9277
80367266,2.2698,3779.2969,8578.4287
