9172196,0i???01.5547,1272.7686
289190810,2.3754,3730.4688,8861.4385
289190849,2.2962,3710.9375,8521.2090
289190889,2.2962,3725.5859,8554.8447
289190928,2.3754,3735.3516,8873.0371
289190968,2.4018,3735.3516,8971.6270
289191008,2.5074,3710.9375,9304.7686
289191047,2.2435,3735.3516,8380.0908
289191087,2.2962,3730.4688,8566.0576
289191126,2.3754,3735.3516,8873.0371
289191165,2.3490,3715.8203,8728.5693
289191205,2.3490,3715.8203,8728.5693
289191244,2.2435,3725.5859,8358.1826
289191284,2.2435,3745.1172,8402.0000
289191323,2.2698,3710.9375,8423.2637
289191363,2.3490,3735.3516,8774.4482
289191403,2.2698,3706.0547,8412.1807
289191442,2.2962,3750.0000,8610.9053
289191482,2.3754,3715.8203,8826.6426
289191521,2.4546,3715.8203,9120.8633
289191561,2.5074,3691.4063,9255.7959
289191600,2.4810,3720.7031,9231.0518
289191640,2.4810,3691.4063,9158.3662
289191680,2.5866,3706.0547,9585.9736
289191718,2.4282,3706.0547,8999.0771
289191758,2.2698,3725.5859,8456.5137
289191797,2.3226,3740.2344,8687.2002
289191837,2.4810,3706.0547,9194.7090
289191877,2.3226,3725.5859,8653.1768
289191916,2.1643,3706.0547,8020.9170
289191956,2.2962,3745.1172,8599.6934
289191995,2.4018,3706.0547,8901.2607
289192035,2.4282,3691.4063,8963.5078
289192075,2.4282,3706.0547,8999.0771
289192114,2.2962,3745.1172,8599.6934
289192154,2.3226,3676.7578,8539.7666
289192193,2.2435,3715.8203,8336.2734
289192232,2.3226,3720.7031,8641.8359
289192272,2.1643,3764.6484,8147.7300
289192311,2.0851,3735.3516,7788.5557
289192351,2.1115,3774.4141,7969.6240
289192390,2.3226,3725.5859,8653.1768
289192430,2.4018,3710.9375,8912.9883
289192470,2.3754,3701.1719,8791.8457
289192509,2.3226,3735.3516,8675.8594
289192549,2.5074,3701.1719,9280.2822
289192588,2.3490,3730.4688,8762.9785
289192628,2.4018,3681.6406,8842.6230
289192668,2.6130,3686.5234,9632.7549
289192707,2.8241,3671.8750,10369.7900
289192748,2.5338,3696.2891,9365.5967
289192786,2.5338,3696.2891,9365.5967
289192826,2.5074,3686.5234,9243.5527
289192866,2.5602,3681.6406,9425.6533
289192905,2.4282,3720.7031,9034.6465
289192945,2.3490,3715.8203,8728.5693
289192984,2.2962,3754.8828,8622.1182
289193024,2.4018,3701.1719,8889.5332
289193063,2.3490,3730.4688,8762.9785
289193103,2.3754,3715.8203,8826.6426
289193143,2.2962,3735.3516,8577.2695
289193182,2.3490,3706.0547,8705.6289
289193222,2.5074,3701.1719,9280.2822
289193261,2.5338,3701.1719,9377.9688
289193300,2.3754,3735.3516,8873.0371
289193340,2.3490,3701.1719,8694.1592
289193379,2.4810,3720.7031,9231.0518
289193419,2.5074,3691.4063,9255.7959
289193458,2.3754,3740.2344,8884.6357
289193498,2.5338,3710.9375,9402.7129
289193538,2.3226,3715.8203,8630.4951
289193577,2.4282,3710.9375,9010.9336
289193617,2.4282,3706.0547,8999.0771
289193656,2.3754,3735.3516,8873.0371
289193696,2.4282,3715.8203,9022.7900
289193736,2.2962,3745.1172,8599.6934
289193775,2.4018,3730.4688,8959.8994
289193815,2.3490,3725.5859,8751.5088
289193853,2.2698,3740.2344,8489.7627
