289224&?	r?84,4028.3203,744.2526
289247638,2.1907,3740.2344,8193.6084
289247678,2.2435,3740.2344,8391.0459
289247717,2.1379,3764.6484,8048.3667
289247757,2.2435,3750.0000,8412.9541
289247796,2.2698,3730.4688,8467.5967
289247836,2.1907,3745.1172,8204.3057
289247875,2.2698,3715.8203,8434.3467
289247915,2.1115,3759.7656,7938.6943
289247954,2.1115,3710.9375,7835.5942
289247993,2.2435,3764.6484,8445.8174
289248033,2.1643,3715.8203,8042.0522
289248072,2.1643,3745.1172,8105.4590
289248112,2.2171,3735.3516,8281.5020
289248152,2.2698,3745.1172,8500.8467
289248191,2.2698,3735.3516,8478.6797
289248231,2.1907,3735.3516,8182.9121
289248270,2.2962,3730.4688,8566.0576
289248310,2.2435,3613.2813,8106.2319
289248350,2.3754,3720.7031,8838.2412
289248389,2.3226,3740.2344,8687.2002
289248429,2.2962,3735.3516,8577.2695
289248467,2.1907,3759.7656,8236.3955
289248507,2.0851,3745.1172,7808.9175
289248547,2.0587,3779.2969,7780.4360
289248586,2.0323,3784.1797,7690.6099
289248626,2.0059,3750.0000,7522.1704
289248665,2.0851,3764.6484,7849.6421
289248705,2.1115,3740.2344,7897.4541
289248745,2.2698,3750.0000,8511.9297
289248784,2.2435,3725.5859,8358.1826
289248824,2.4018,3730.4688,8959.8994
289248863,2.2698,3710.9375,8423.2637
289248903,2.3226,3735.3516,8675.8594
289248943,2.2171,3740.2344,8292.3271
289248982,2.2171,3754.8828,8324.8037
289249021,2.2171,3730.4688,8270.6758
289249060,2.2171,3764.6484,8346.4541
289249100,2.1643,3735.3516,8084.3232
289249139,2.3490,3750.0000,8808.8584
289249179,2.3226,3720.7031,8641.8359
289249219,2.2435,3750.0000,8412.9541
289249258,2.2435,3740.2344,8391.0459
289249298,2.1907,3784.1797,8289.8779
289249337,2.1907,3754.8828,8225.6982
289249377,2.1379,3750.0000,8017.0503
289249417,2.1115,3745.1172,7907.7642
289249456,2.1115,3745.1172,7907.7642
289249496,2.2171,3750.0000,8313.9775
289249534,2.1907,3725.5859,8161.5186
289249574,2.2698,3745.1172,8500.8467
289249614,2.2962,3720.7031,8543.6328
289249653,2.4018,3735.3516,8971.6270
289249693,2.2435,3720.7031,8347.2275
289249732,2.3490,3740.2344,8785.9180
289249772,2.2962,3715.8203,8532.4209
289249812,2.2435,3740.2344,8391.0459
289249851,2.1379,3725.5859,7964.8560
289249891,2.0323,3779.2969,7680.6865
289249930,2.0323,3745.1172,7611.2231
