
288383??	r?90,4072.2656,1182.2985
288398418,2.2698,3784.1797,8589.5117
288398458,2.1643,3789.0625,8200.5684
288398497,2.1379,3774.4141,8069.2446
288398537,2.3490,3803.7109,8935.0264
288398577,2.2435,3764.6484,8445.8174
288398616,2.2698,3784.1797,8589.5117
288398656,2.2698,3774.4141,8567.3457
288398695,2.2698,3789.0625,8600.5957
288398735,2.3490,3769.5313,8854.7373
288398775,2.2962,3784.1797,8689.3906
288398814,2.1643,3774.4141,8168.8652
288398854,2.1907,3842.7734,8418.2373
288398893,2.1907,3784.1797,8289.8779
288398932,2.2171,3789.0625,8400.5820
288398972,2.0851,3793.9453,7910.7290
288399011,2.1643,3784.1797,8190.0005
288399051,2.1115,3750.0000,7918.0742
288399090,2.1643,3779.2969,8179.4331
288399130,2.1115,3779.2969,7979.9341
288399169,2.2435,3784.1797,8489.6348
288399209,2.2962,3769.5313,8655.7539
288399249,2.2435,3764.6484,8445.8174
288399288,2.2435,3779.2969,8478.6807
288399328,2.2171,3784.1797,8389.7568
288399367,2.1643,3779.2969,8179.4331
288399407,2.1907,3779.2969,8279.1816
288399447,2.1643,3779.2969,8179.4331
288399485,2.1379,3798.8281,8121.4390
288399525,2.2171,3769.5313,8357.2803
288399564,2.2698,3784.1797,8589.5117
288399604,2.2435,3769.5313,8456.7715
288399644,2.1907,3774.4141,8268.4854
288399683,2.2435,3769.5313,8456.7715
288399723,2.2962,3769.5313,8655.7539
288399762,2.1907,3789.0625,8300.5752
288399802,2.1907,3789.0625,8300.5752
288399842,2.2435,3759.7656,8434.8633
288399881,2.2171,3779.2969,8378.9307
288399921,2.1643,3779.2969,8179.4331
288399960,2.1379,3789.0625,8100.5610
288400000,2.1379,3769.5313,8058.8057
288400039,2.1907,3789.0625,8300.5752
288400078,2.1907,3774.4141,8268.4854
288400118,2.1379,3935.5469,8413.7275
288400157,2.1907,3779.2969,8279.1816
288400197,2.1379,3798.8281,8121.4390
288400237,2.1379,3784.1797,8090.1226
288400276,2.1907,3793.9453,8311.2715
288400316,2.2435,3750.0000,8412.9541
288400355,2.4018,3784.1797,9088.9033
288400395,2.2698,3764.6484,8545.1797
288400434,2.2698,3793.9453,8611.6787
288400474,2.2962,3759.7656,8633.3301
288400514,2.2962,3779.2969,8678.1787
288400552,2.2698,3759.7656,8534.0957
288400592,2.2435,3798.8281,8522.4980
288400631,2.1907,3789.0625,8300.5752
288400671,2.2435,3803.7109,8533.4521
288400711,2.1379,3769.5313,8058.8057
288400750,2.1907,3789.0625,8300.5752
288400790,2.1907,3774.4141,8268.4854
288400829,2.2435,3798.8281,8522.4980
288400869,2.1115,3779.2969,7979.9341
288400909,2.1643,3793.9453,8211.1357
288400948,2.2435,3769.5313,8456.7715
288400988,2.2435,3779.2969,8478.6807
288401027,2.1379,3774.4141,8069.2446
288401067,2.0851,3803.7109,7931.0913
288401106,2.1115,3764.6484,7949.0039
288401145,2.2435,3813.4766,8555.3613
288401185,2.0851,3784.1797,7890.3667
288401224,2.1907,3798.8281,8321.9678
288401264,2.2171,3774.4141,8368.1055
