39,4?????4,069.6617
346702797,2.0323,3789.0625,7700.5332
346702837,2.1115,3764.6484,7949.0039
346702876,2.1115,3784.1797,7990.2441
346702916,2.0851,3745.1172,7808.9175
346702955,2.1379,3774.4141,8069.2446
346702995,2.3490,3740.2344,8785.9180
346703034,2.3226,3769.5313,8755.2461
346703074,2.0851,3754.8828,7829.2798
346703114,2.0851,3793.9453,7910.7290
346703153,2.1115,3774.4141,7969.6240
346703193,2.0851,3803.7109,7931.0913
346703232,1.9267,3764.6484,7253.4668
346703271,2.0587,3779.2969,7780.4360
346703311,2.2171,3754.8828,8324.8037
346703350,2.3226,3745.1172,8698.5410
346703390,2.2698,3750.0000,8511.9297
346703429,2.2171,3745.1172,8303.1523
346703469,2.1907,3759.7656,8236.3955
346703509,2.1643,3745.1172,8105.4590
346703548,2.2435,3764.6484,8445.8174
346703588,2.1643,3754.8828,8126.5942
346703627,2.2171,3730.4688,8270.6758
346703667,2.2435,3725.5859,8358.1826
346703707,2.1379,3774.4141,8069.2446
346703746,2.2171,3740.2344,8292.3271
346703785,2.1907,3789.0625,8300.5752
346703824,2.1907,3735.3516,8182.9121
346703864,2.1907,3774.4141,8268.4854
346703904,2.2962,3750.0000,8610.9053
346703943,2.1907,3779.2969,8279.1816
346703983,2.2962,3750.0000,8610.9053
346704022,2.2171,3759.7656,8335.6289
346704062,2.2435,3745.1172,8402.0000
346704102,2.2962,3740.2344,8588.4814
346704141,2.2698,3754.8828,8523.0127
346704181,2.3226,3754.8828,8721.2227
346704220,2.4282,3730.4688,9058.3594
346704260,2.4282,3735.3516,9070.2168
346704299,2.4282,3725.5859,9046.5029
346704338,2.2171,3764.6484,8346.4541
346704378,2.1643,3793.9453,8211.1357
346704417,2.2171,3769.5313,8357.2803
346704457,2.2435,3750.0000,8412.9541
346704496,2.3226,3759.7656,8732.5635
346704536,2.3490,3740.2344,8785.9180
346704576,2.1643,3769.5313,8158.2974
346704615,2.1379,3764.6484,8048.3667
346704655,2.1379,3754.8828,8027.4893
346704694,2.2698,3754.8828,8523.0127
346704734,2.4018,3720.7031,8936.4443
346704774,2.4546,3720.7031,9132.8486
346704813,2.4810,3740.2344,9279.5088
346704852,2.2962,3740.2344,8588.4814
346704891,2.2698,3735.3516,8478.6797
346704931,2.2698,3745.1172,8500.8467
346704971,2.2171,3764.6484,8346.4541
346705010,2.2698,3735.3516,8478.6797
346705050,2.4018,3740.2344,8983.3545
346705089,2.2698,3745.1172,8500.8467
346705129,2.2962,3666.9922,8420.2998
346705169,2.2962,3750.0000,8610.9053
346705208,2.3226,3745.1172,8698.5410
346705248,2.3490,3740.2344,8785.9180
346705287,2.4810,3750.0000,9303.7373
346705327,2.2962,3740.2344,8588.4814
346705367,2.3490,3735.3516,8774.4482
346705405,2.2962,3784.1797,8689.3906
346705445,2.2435,3745.1172,8402.0000
346705484,2.3226,3740.2344,8687.2002
346705524,2.2962,3740.2344,8588.4814
346705563,2.3754,3735.3516,8873.0371
346705603,2.2962,3730.4688,8566.0576
346705643,2.2435,3730.4688,8369.1367
346705682,2.4546,3745.1172,9192.7754
346705722,2.3754,3715.8203,8826.6426
346705761,2.4546,3750.0000,9204.7607
346705801,2.3226,3750.0000,8709.8818
346705841,2.3490,3750.0000,8808.8584
346705880,2.2962,3740.2344,8588.4814
346705920,2.2171,3764.6484,8346.4541
346705958,2.2962,3730.4688,8566.0576
346705998,2.3754,3740.2344,8884.6357
346706038,2.2171,3740.2344,8292.3271
346706077,2.3226,3759.7656,8732.5635
346706117,2.2171,3715.8203,8238.1992
346706156,2.4018,3676.7578,8830.8955
346706196,2.4018,3730.4688,8959.8994
346706236,2.3490,3750.0000,8808.8584
346706275,2.2962,3735.3516,8577.2695
346706315,2.2435,3754.8828,8423.9082
346706354,2.3490,3745.1172,8797.3887
346706394,2.3490,3740.2344,8785.9180
346706434,2.4282,3725.5859,9046.5029
346706472,2.5074,3720.7031,9329.2549
346706512,2.4810,3696.2891,9170.4805
346706551,2.3226,3750.0000,8709.8818
346706591,2.3490,3696.2891,8682.6895
346706631,2.3754,3720.7031,8838.2412
346706670,2.3226,3710.9375,8619.1543
346706710,2.3754,3735.3516,8873.0371
346706749,2.3226,3715.8203,8630.4951
346706789,2.4018,3750.0000,9006.8096
346706828,2.3226,3710.9375,8619.1543
346706868,2.2962,3745.1172,8599.6934
346706908,2.4810,3706.0547,9194.7090
346706947,2.4282,3730.4688,9058.3594
346706987,2.4546,3701.1719,9084.9072
346707025,2.4018,3735.3516,8971.6270
346707065,2.3754,3730.4688,8861.4385
346707105,2.4018,3735.3516,8971.6270
346707144,2.5074,3706.0547,9292.5254
346707184,2.4810,3715.8203,9218.9375
346707223,2.4810,3730.4688,9255.2803
346707263,2.4546,3720.7031,9132.8486
346707303,2.2435,3750.0000,8412.9541
346707342,2.3754,3735.3516,8873.0371
346707382,2.4282,3725.5859,9046.5029
346707421,2.4546,3735.3516,9168.8047
346707461,2.4546,3725.5859,9144.8340
346707501,2.4282,3681.6406,8939.7949
346707539,2.3754,3745.1172,8896.2344
346707579,2.2962,3720.7031,8543.6328
346707618,2.4546,3740.2344,9180.7900
346707658,2.4546,3696.2891,9072.9219
346707698,2.4282,3730.4688,9058.3594
346707737,2.4018,3701.1719,8889.5332
346707777,2.2962,3730.4688,8566.0576
346707816,2.2698,3730.4688,8467.5967
346707856,2.4018,3735.3516,8971.6270
346707896,2.4282,3715.8203,9022.7900
346707935,2.5338,3735.3516,9464.5732
346707975,2.4018,3720.7031,8936.4443
346708014,2.4282,3735.3516,9070.2168
346708054,2.3490,3730.4688,8762.9785
346708092,2.5602,3730.4688,9550.6611
346708132,2.4810,3710.9375,9206.8232
346708172,2.4546,3701.1719,9084.9072
346708211,2.4018,3720.7031,8936.4443
