394.3359,2103.367228.5156,1674.0850
37896812,2.3490,3852.5391,9049.7256
37896850,2.3226,3852.5391,8948.0430
37896889,2.1907,3876.9531,8493.1143
37896927,2.3226,3862.3047,8970.7246
37896966,2.4018,3876.9531,9311.7275
37897004,2.4546,3833.0078,9408.5127
37897042,2.3490,3847.6563,9038.2559
37897081,2.4282,3823.2422,9283.6328
37897119,2.3226,3891.6016,9038.7705
37897158,2.3226,3852.5391,8948.0430
37897196,2.1907,3872.0703,8482.4170
37897235,2.2435,3847.6563,8632.0420
37897273,2.2698,3867.1875,8777.9277
37897312,2.2698,3916.0156,8888.7598
37897351,2.4282,3901.3672,9473.3369
37897389,2.3754,4018.5547,9545.7646
37897427,2.4810,3784.1797,9388.5371
37897465,2.5866,3818.3594,9876.4580
37897504,2.7449,3774.4141,10360.5120
37897544,2.6921,3803.7109,10240.1430
37897583,2.7449,3808.5938,10454.3320
37897623,2.7449,3813.4766,10467.7350
37897662,2.6921,3818.3594,10279.5780
37897702,2.6394,3793.9453,10013.5800
37897742,2.5074,3818.3594,9574.1172
37897780,2.4018,3876.9531,9311.7275
37897819,2.2435,3876.9531,8697.7676
37897857,2.2435,3847.6563,8632.0420
37897895,2.2698,3857.4219,8755.7607
37897933,2.2435,3901.3672,8752.5400
37897972,2.3490,3906.2500,9175.8936
37898011,2.2435,3867.1875,8675.8594
37898049,2.4282,3852.5391,9354.7725
37898088,2.3226,3823.2422,8879.9971
37898126,2.4282,3876.9531,9414.0547
37898165,2.3490,3867.1875,9084.1348
37898203,2.4810,3842.7734,9533.9082
37898242,2.5866,3823.2422,9889.0869
37898280,2.5602,3823.2422,9788.1777
37898318,2.5338,3833.0078,9712.0127
37898357,2.6130,3818.3594,9977.2383
37898395,2.6921,3818.3594,10279.5780
37898435,2.7185,3808.5938,10353.8100
37898475,2.5866,3876.9531,10028.0150
37898514,2.4810,3847.6563,9546.0225
37898553,2.6394,3823.2422,10090.9050
37898592,2.5866,3833.0078,9914.3467
37898631,2.4282,3867.1875,9390.3418
37898669,2.2171,3881.8359,8606.2666
37898707,2.3226,3852.5391,8948.0430
37898746,2.3490,3847.6563,9038.2559
37898784,2.2171,3891.6016,8627.9170
37898823,2.2171,3901.3672,8649.5684
37898861,2.4282,3862.3047,9378.4854
37898900,2.4546,3823.2422,9384.5420
37898938,2.5074,3823.2422,9586.3604
37898977,2.5338,3862.3047,9786.2441
37899016,2.5338,3837.8906,9724.3848
37899054,2.5602,3823.2422,9788.1777
37899092,2.6921,3808.5938,10253.2880
37899131,2.6130,3828.1250,10002.7550
37899171,2.5338,3852.5391,9761.5010
37899210,2.5338,3828.1250,9699.6406
37899248,2.5602,3813.4766,9763.1758
37899287,2.5074,3833.0078,9610.8467
37899325,2.5338,3867.1875,9798.6162
37899364,2.4282,3857.4219,9366.6289
37899402,2.4018,3828.1250,9194.4512
37899441,2.5074,3808.5938,9549.6309
37899480,2.5866,3852.5391,9964.8662
37899517,2.4810,3886.7188,9642.9365
37899556,2.5338,3842.7734,9736.7568
37899594,2.4810,3823.2422,9485.4512
37899633,2.4282,3808.5938,9248.0635
37899672,2.4810,3823.2422,9485.4512
37899710,2.5074,3847.6563,9647.5762
37899749,2.5074,3842.7734,9635.3330
37899787,2.5338,3833.0078,9712.0127
37899826,2.5074,3823.2422,9586.3604
37899864,2.5866,3852.5391,9964.8662
37899902,2.5602,3837.8906,9825.6807
37899941,2.6130,3823.2422,9989.9971
37899979,2.4546,3803.7109,9336.6006
37900018,2.4018,3837.8906,9217.9063
37900056,2.6394,3857.4219,10181.1170
37900096,2.6130,3833.0078,10015.5140
37900135,2.5074,3813.4766,9561.8740
37900174,2.4282,3847.6563,9342.9160
37900213,2.5866,3842.7734,9939.6064
37900251,2.5866,3876.9531,10028.0150
37900291,2.7449,3803.7109,10440.9300
