8404,0.2??????	516,1175.2103
356982114,2.1643,3725.5859,8063.1880
356982153,2.2698,3745.1172,8500.8467
356982193,2.3490,3764.6484,8843.2676
356982233,2.3226,3725.5859,8653.1768
356982272,2.2171,3745.1172,8303.1523
356982311,2.4018,3740.2344,8983.3545
356982350,2.3226,3750.0000,8709.8818
356982390,2.3490,3754.8828,8820.3281
356982430,2.2698,3740.2344,8489.7627
356982469,2.1379,3764.6484,8048.3667
356982509,2.1643,3769.5313,8158.2974
356982548,2.0323,3813.4766,7750.1504
356982588,2.0323,3803.7109,7730.3037
356982627,1.9267,3754.8828,7234.6509
356982667,2.1115,3789.0625,8000.5542
356982707,2.0323,3803.7109,7730.3037
356982746,2.1907,3774.4141,8268.4854
356982786,2.2171,3774.4141,8368.1055
356982824,2.0851,3764.6484,7849.6421
356982864,2.3490,3745.1172,8797.3887
356982904,2.2698,3745.1172,8500.8467
356982943,2.3490,3745.1172,8797.3887
356982983,2.1379,3750.0000,8017.0503
356983022,2.2171,3740.2344,8292.3271
356983062,2.3754,3754.8828,8919.4326
356983102,2.4018,3745.1172,8995.0820
356983141,2.3490,3745.1172,8797.3887
356983181,2.2962,3759.7656,8633.3301
356983220,2.3490,3740.2344,8785.9180
356983260,2.2962,3759.7656,8633.3301
356983300,2.2698,3784.1797,8589.5117
356983339,2.2962,3754.8828,8622.1182
356983378,2.4282,3740.2344,9082.0732
356983417,2.1907,3779.2969,8279.1816
356983457,2.0587,3784.1797,7790.4883
356983497,2.2698,3754.8828,8523.0127
356983536,2.1907,3779.2969,8279.1816
356983576,2.0323,3803.7109,7730.3037
356983615,2.0059,3754.8828,7531.9648
356983655,2.2698,3769.5313,8556.2627
356983695,2.0851,3769.5313,7859.8232
356983734,2.4018,3730.4688,8959.8994
356983774,2.3754,3750.0000,8907.8330
356983813,2.4282,3774.4141,9165.0684
356983853,2.1115,3779.2969,7979.9341
356983891,2.3490,3735.3516,8774.4482
356983931,2.4546,3754.8828,9216.7461
356983971,2.3226,3725.5859,8653.1768
356984010,2.1643,3750.0000,8116.0264
356984050,2.1643,3779.2969,8179.4331
356984089,2.1643,3750.0000,8116.0264
356984129,2.0059,3769.5313,7561.3481
356984169,2.0851,3789.0625,7900.5479
356984208,1.9795,3803.7109,7529.5161
356984248,2.0587,3793.9453,7810.5928
356984287,1.9531,3803.7109,7429.1230
356984327,2.1115,3789.0625,8000.5542
356984367,2.1907,3823.2422,8375.4512
356984406,2.2962,3735.3516,8577.2695
356984445,2.3490,3745.1172,8797.3887
356984484,2.3754,3764.6484,8942.6299
356984524,2.3754,3720.7031,8838.2412
356984564,2.1907,3759.7656,8236.3955
356984603,2.2962,3701.1719,8498.7842
356984643,2.3754,3715.8203,8826.6426
356984682,2.3754,3710.9375,8815.0439
