.1584,40?&???,67.1575
101320653,2.1643,3784.1797,8190.0005
101320693,2.2698,3793.9453,8611.6787
101320733,2.2962,3735.3516,8577.2695
101320772,2.1907,3769.5313,8257.7881
101320812,2.2698,3759.7656,8534.0957
101320851,2.1907,3779.2969,8279.1816
101320891,2.2698,3750.0000,8511.9297
101320931,2.1907,3754.8828,8225.6982
101320970,2.2171,3769.5313,8357.2803
101321010,2.1379,3789.0625,8100.5610
101321049,2.1379,3764.6484,8048.3667
101321089,2.2435,3745.1172,8402.0000
101321128,2.1643,3774.4141,8168.8652
101321167,2.1643,3774.4141,8168.8652
101321207,2.2435,3745.1172,8402.0000
101321246,2.2435,3754.8828,8423.9082
101321286,2.1907,3759.7656,8236.3955
101321326,2.2435,3769.5313,8456.7715
101321365,2.1643,3769.5313,8158.2974
101321405,2.1115,3745.1172,7907.7642
101321444,2.2962,3759.7656,8633.3301
101321484,2.1907,3774.4141,8268.4854
101321524,2.2698,3769.5313,8556.2627
101321563,2.1379,3740.2344,7996.1724
101321603,2.3490,3745.1172,8797.3887
101321641,2.2435,3779.2969,8478.6807
101321681,2.4018,3759.7656,9030.2646
101321721,2.3490,3740.2344,8785.9180
101321760,2.2962,3750.0000,8610.9053
101321800,2.2435,3764.6484,8445.8174
101321839,2.2698,3784.1797,8589.5117
101321879,2.3226,3754.8828,8721.2227
101321918,2.3490,3745.1172,8797.3887
101321958,2.2435,3754.8828,8423.9082
101321998,2.2171,3774.4141,8368.1055
101322037,2.2435,3779.2969,8478.6807
101322077,2.2435,3750.0000,8412.9541
101322116,2.1907,3759.7656,8236.3955
101322156,2.2171,3774.4141,8368.1055
101322195,2.1379,3774.4141,8069.2446
101322234,2.2171,3750.0000,8313.9775
101322274,2.2698,3750.0000,8511.9297
101322313,2.2962,3759.7656,8633.3301
101322353,2.2435,3779.2969,8478.6807
101322393,2.2435,3759.7656,8434.8633
101322432,2.2698,3730.4688,8467.5967
101322472,2.1379,3754.8828,8027.4893
101322511,2.2171,3769.5313,8357.2803
101322551,2.1907,3769.5313,8257.7881
101322591,2.2171,3740.2344,8292.3271
101322630,2.1379,3759.7656,8037.9282
101322670,2.1907,3779.2969,8279.1816
101322708,2.2435,3764.6484,8445.8174
101322748,2.2171,3750.0000,8313.9775
101322788,2.1907,3764.6484,8247.0918
101322827,2.2962,3774.4141,8666.9658
101322867,2.2698,3759.7656,8534.0957
101322906,2.3754,3735.3516,8873.0371
101322946,2.3754,3730.4688,8861.4385
101322986,2.2962,3764.6484,8644.5420
101323025,2.2698,3759.7656,8534.0957
101323065,2.2171,3740.2344,8292.3271
101323104,2.3226,3735.3516,8675.8594
101323144,2.2171,3769.5313,8357.2803
101323183,2.1907,3774.4141,8268.4854
101323223,2.2435,3754.8828,8423.9082
101323262,2.2171,3735.3516,8281.5020
101323301,2.2171,3764.6484,8346.4541
101323341,2.2435,3774.4141,8467.7256
101323380,2.2171,3759.7656,8335.6289
101323420,2.1907,3740.2344,8193.6084
101323460,2.2435,3754.8828,8423.9082
101323499,2.2435,3779.2969,8478.6807
101323539,2.2435,3764.6484,8445.8174
101323578,2.2171,3740.2344,8292.3271
101323618,2.2435,3754.8828,8423.9082
101323658,2.2171,3789.0625,8400.5820
101323697,2.2435,3784.1797,8489.6348
101323737,2.2435,3745.1172,8402.0000
101323776,2.2698,3759.7656,8534.0957
101323815,2.2171,3769.5313,8357.2803
101323855,2.2435,3784.1797,8489.6348
101323894,2.2435,3735.3516,8380.0908
101323934,2.2962,3735.3516,8577.2695
101323973,2.2962,3759.7656,8633.3301
101324013,2.2962,3774.4141,8666.9658
101324053,2.1907,3740.2344,8193.6084
101324092,2.2435,3750.0000,8412.9541
101324132,2.2171,3764.6484,8346.4541
101324171,2.2435,3769.5313,8456.7715
101324211,2.2698,3754.8828,8523.0127
101324251,2.2962,3730.4688,8566.0576
101324290,2.2698,3745.1172,8500.8467
101324329,2.2698,3769.5313,8556.2627
101324368,2.1907,3774.4141,8268.4854
101324408,2.1907,3730.4688,8172.2153
101324447,2.3754,3750.0000,8907.8330
101324487,2.2435,3764.6484,8445.8174
101324527,2.2435,3774.4141,8467.7256
101324566,2.2698,3745.1172,8500.8467
101324606,2.1379,3759.7656,8037.9282
101324645,2.1379,3774.4141,8069.2446
