,0.2111,4028.3203,850.5744
261434566,2.1907,3706.0547,8118.7324
261434605,2.2435,3710.9375,8325.3193
261434645,2.2171,3730.4688,8270.6758
261434685,2.2962,3740.2344,8588.4814
261434724,2.1379,3759.7656,8037.9282
261434764,2.1379,3710.9375,7933.5396
261434803,2.1907,3808.5938,8343.3613
261434843,2.1907,3740.2344,8193.6084
261434882,2.1379,3725.5859,7964.8560
261434921,2.1643,3740.2344,8094.8911
261434961,2.2698,3730.4688,8467.5967
261435000,2.1907,3759.7656,8236.3955
261435040,2.1907,3735.3516,8182.9121
261435079,2.2171,3745.1172,8303.1523
261435119,2.2435,3740.2344,8391.0459
261435159,2.1907,3720.7031,8150.8223
261435198,2.3226,3725.5859,8653.1768
261435238,2.2962,3710.9375,8521.2090
261435277,2.2435,3735.3516,8380.0908
261435317,2.3754,3740.2344,8884.6357
261435357,2.2698,3745.1172,8500.8467
261435396,2.2962,3715.8203,8532.4209
261435436,2.1643,3730.4688,8073.7554
261435474,2.1643,3745.1172,8105.4590
261435514,2.1115,3725.5859,7866.5239
261435554,2.3226,3759.7656,8732.5635
261435593,2.1907,3730.4688,8172.2153
261435633,2.1115,3740.2344,7897.4541
261435672,2.1379,3735.3516,7985.7339
261435712,2.1115,3715.8203,7845.9043
261435752,2.1379,3730.4688,7975.2949
261435791,2.1379,3720.7031,7954.4170
261435831,2.1907,3754.8828,8225.6982
261435870,2.1907,3710.9375,8129.4287
261435910,2.1907,3750.0000,8215.0020
261435950,2.2171,3754.8828,8324.8037
261435988,2.2171,3740.2344,8292.3271
261436028,2.2698,3730.4688,8467.5967
261436067,2.2435,3740.2344,8391.0459
261436107,2.1907,3735.3516,8182.9121
261436146,2.3490,3730.4688,8762.9785
261436186,2.1379,3754.8828,8027.4893
261436226,2.2171,3720.7031,8249.0254
261436265,2.0851,3735.3516,7788.5557
261436305,2.1643,3745.1172,8105.4590
261436344,2.1907,3725.5859,8161.5186
261436384,2.2171,3740.2344,8292.3271
261436424,2.2435,3710.9375,8325.3193
261436463,2.2171,3720.7031,8249.0254
261436503,2.2435,3706.0547,8314.3652
261436541,2.3226,3735.3516,8675.8594
261436581,2.1907,3764.6484,8247.0918
261436621,2.0851,3730.4688,7778.3745
261436660,2.1115,3774.4141,7969.6240
261436700,2.1115,3725.5859,7866.5239
261436739,2.1379,3730.4688,7975.2949
261436779,2.1643,3720.7031,8052.6201
261436819,2.1907,3759.7656,8236.3955
261436858,2.2435,3735.3516,8380.0908
261436898,2.2435,3715.8203,8336.2734
261436937,2.2171,3745.1172,8303.1523
261436977,2.2171,3710.9375,8227.3740
261437017,2.2698,3759.7656,8534.0957
261437056,2.1379,3710.9375,7933.5396
261437095,2.2698,3759.7656,8534.0957
261437134,2.3226,3720.7031,8641.8359
261437174,2.2698,3730.4688,8467.5967
261437214,2.1115,3745.1172,7907.7642
261437253,2.2171,3730.4688,8270.6758
261437293,2.1379,3769.5313,8058.8057
261437332,2.0851,3735.3516,7788.5557
261437372,2.1115,3759.7656,7938.6943
261437411,2.1907,3740.2344,8193.6084
261437451,2.2435,3740.2344,8391.0459
261437491,2.1643,3750.0000,8116.0264
261437530,2.0851,3725.5859,7768.1934
261437570,2.2435,3735.3516,8380.0908
261437608,2.2171,3706.0547,8216.5488
261437648,2.2171,3754.8828,8324.8037
261437688,2.1643,3725.5859,8063.1880
261437727,2.2962,3730.4688,8566.0576
261437767,2.2962,3725.5859,8554.8447
261437806,2.3226,3706.0547,8607.8125
261437846,2.2171,3745.1172,8303.1523
261437886,2.1907,3730.4688,8172.2153
261437925,2.1643,3759.7656,8137.1621
261437965,2.1115,3725.5859,7866.5239
261438004,2.1907,3710.9375,8129.4287
261438044,2.0323,3745.1172,7611.2231
261438084,2.0323,3740.2344,7601.2998
261438123,2.1643,3759.7656,8137.1621
261438162,2.0851,3725.5859,7768.1934
261438201,2.1379,3745.1172,8006.6113
261438241,2.1907,3730.4688,8172.2153
261438281,2.1907,3740.2344,8193.6084
261438320,2.1907,3754.8828,8225.6982
261438360,2.2962,3750.0000,8610.9053
261438399,2.1379,3740.2344,7996.1724
261438439,2.1379,3710.9375,7933.5396
261438479,2.2171,3715.8203,8238.1992
261438518,2.0851,3740.2344,7798.7368
261438558,2.1115,3745.1172,7907.7642
261438597,2.2698,3745.1172,8500.8467
261438637,2.2962,3720.7031,8543.6328
261438675,2.1379,3735.3516,7985.7339
261438715,2.0851,3710.9375,7737.6499
261438755,2.3490,3750.0000,8808.8584
261438794,2.2171,3730.4688,8270.6758
261438834,2.3226,3735.3516,8675.8594
261438873,2.2435,3745.1172,8402.0000
261438913,2.2962,3725.5859,8554.8447
261438953,2.1907,3730.4688,8172.2153
261438992,2.1907,3730.4688,8172.2153
261439032,2.2171,3759.7656,8335.6289
261439071,2.0059,3740.2344,7502.5811
261439111,2.0851,3774.4141,7870.0044
261439151,2.1115,3745.1172,7907.7642
261439190,2.0851,3754.8828,7829.2798
261439229,2.0851,3735.3516,7788.5557
261439268,2.0851,3730.4688,7778.3745
261439308,2.2698,3750.0000,8511.9297
261439348,2.1907,3691.4063,8086.6426
