99,0.??L??722656,859.8534
80030892,2.2435,3833.0078,8599.1787
80030930,2.2171,3803.7109,8433.0586
80030968,2.3754,3823.2422,9081.8145
80031007,2.2962,3779.2969,8678.1787
80031046,2.2698,3823.2422,8678.1777
80031084,2.3754,3793.9453,9012.2217
80031123,2.2435,3823.2422,8577.2695
80031161,2.2962,3823.2422,8779.0879
80031200,2.1907,3803.7109,8332.6650
80031238,2.2435,3818.3594,8566.3154
80031277,2.3490,3808.5938,8946.4961
80031315,2.2698,3828.1250,8689.2617
80031353,2.2698,3779.2969,8578.4287
80031392,2.2435,3833.0078,8599.1787
80031430,2.2171,3823.2422,8476.3604
80031469,2.3754,3828.1250,9093.4131
80031508,2.2435,3803.7109,8533.4521
80031546,2.2698,3818.3594,8667.0947
80031585,2.2698,3808.5938,8644.9287
80031623,2.3754,3813.4766,9058.6172
80031662,2.2698,3813.4766,8656.0117
80031699,2.2698,3808.5938,8644.9287
80031738,2.3226,3837.8906,8914.0195
80031777,2.2698,3798.8281,8622.7617
80031815,2.2171,3833.0078,8498.0117
80031854,2.3226,3789.0625,8800.6094
80031892,2.4282,3798.8281,9224.3506
80031931,2.4018,3774.4141,9065.4473
80031969,2.4546,3793.9453,9312.6289
80032008,2.4018,3808.5938,9147.5410
80032047,2.3226,3813.4766,8857.3145
80032084,2.1643,3837.8906,8306.2461
80032123,2.2171,3793.9453,8411.4072
80032161,2.2435,3842.7734,8621.0869
80032200,2.2435,3798.8281,8522.4980
80032239,2.2435,3842.7734,8621.0869
80032277,2.1907,3793.9453,8311.2715
80032316,2.2698,3818.3594,8667.0947
80032354,2.4018,3798.8281,9124.0859
80032393,2.4282,3818.3594,9271.7764
80032431,2.4282,3774.4141,9165.0684
80032470,2.4018,3808.5938,9147.5410
80032508,2.3754,3808.5938,9047.0186
80032546,2.3754,3784.1797,8989.0244
80032585,2.3754,3818.3594,9070.2158
80032623,2.3490,3793.9453,8912.0869
80032662,2.3754,3823.2422,9081.8145
80032700,2.3226,3789.0625,8800.6094
80032739,2.4018,3833.0078,9206.1787
80032778,2.2698,3779.2969,8578.4287
80032816,2.5074,3813.4766,9561.8740
80032855,2.3490,3798.8281,8923.5566
80032892,2.2962,3818.3594,8767.8750
80032931,2.3754,3813.4766,9058.6172
80032970,2.3490,3803.7109,8935.0264
80033008,2.3226,3818.3594,8868.6563
80033047,2.3754,3808.5938,9047.0186
80033085,2.2171,3818.3594,8465.5352
80033124,2.2698,3798.8281,8622.7617
80033162,2.2962,3823.2422,8779.0879
80033201,2.2698,3784.1797,8589.5117
80033240,2.3490,3823.2422,8980.9063
80033277,2.4018,3774.4141,9065.4473
80033316,2.3490,3813.4766,8957.9668
80033354,2.4018,3789.0625,9100.6309
80033393,2.3490,3798.8281,8923.5566
80033431,2.4018,3813.4766,9159.2686
80033470,2.2962,3798.8281,8723.0273
80033509,2.2435,3823.2422,8577.2695
80033547,2.2435,3779.2969,8478.6807
80033586,2.3754,3828.1250,9093.4131
80033624,2.3754,3789.0625,9000.6230
80033662,2.3754,3828.1250,9093.4131
80033700,2.2962,3789.0625,8700.6025
80033739,2.3226,3818.3594,8868.6563
80033778,2.4810,3793.9453,9412.7656
80033816,2.3754,3803.7109,9035.4199
80033855,2.4018,3818.3594,9170.9961
80033893,2.4546,3813.4766,9360.5713
80033932,2.3490,3813.4766,8957.9668
80033971,2.4018,3779.2969,9077.1748
80034009,2.4018,3813.4766,9159.2686
80034048,2.2698,3793.9453,8611.6787
80034085,2.3226,3823.2422,8879.9971
80034124,2.3226,3803.7109,8834.6328
80034162,2.2962,3813.4766,8756.6631
80034201,2.2962,3813.4766,8756.6631
80034240,2.2962,3813.4766,8756.6631
80034278,2.2698,3813.4766,8656.0117
80034317,2.3490,3789.0625,8900.6172
80034355,2.3490,3818.3594,8969.4365
80034394,2.3754,3779.2969,8977.4258
80034432,2.3754,3818.3594,9070.2158
80034470,2.4018,3793.9453,9112.3584
80034509,2.3754,3808.5938,9047.0186
80034547,2.2435,3818.3594,8566.3154
80034586,2.3490,3808.5938,8946.4961
80034624,2.2435,3818.3594,8566.3154
80034663,2.4546,3803.7109,9336.6006
80034702,2.3490,3823.2422,8980.9063
80034740,2.3226,3774.4141,8766.5869
80034779,2.3226,3808.5938,8845.9736
80034817,2.3490,3789.0625,8900.6172
80034855,2.2962,3813.4766,8756.6631
80034893,2.3226,3818.3594,8868.6563
80034932,2.2435,3813.4766,8555.3613
80034971,2.2435,3818.3594,8566.3154
80035009,2.2435,3793.9453,8511.5439
80035048,2.2962,3833.0078,8801.5117
80035086,2.3226,3789.0625,8800.6094
80035125,2.4018,3818.3594,9170.9961
80035163,2.2962,3798.8281,8723.0273
80035202,2.4282,3803.7109,9236.2070
80035240,2.3754,3779.2969,8977.4258
80035278,2.4018,3793.9453,9112.3584
