9,4023.4375,1486.7009
293439770,1.3725,3886.7188,5334.3901
293439810,1.6100,3842.7734,6186.8979
293439849,1.4780,3876.9531,5730.2939
293439889,1.4253,3876.9531,5525.6406
293439929,1.3725,3872.0703,5314.2856
293439968,1.3461,3886.7188,5231.8057
293440008,1.3197,3847.6563,5077.6714
293440047,1.2933,3876.9531,5014.0073
293440087,1.4780,3891.6016,5751.9448
293440126,1.5044,3789.0625,5700.3950
293440165,1.5572,3886.7188,6052.4810
293440205,1.3197,3891.6016,5135.6650
293440244,1.2669,3896.4844,4936.4243
293440284,1.4253,3891.6016,5546.5186
293440323,1.3461,3896.4844,5244.9512
293440363,1.3461,3896.4844,5244.9512
293440403,1.2933,3886.7188,5026.6367
293440442,1.3989,3862.3047,5402.8228
293440482,1.3197,3906.2500,5154.9961
293440521,1.2669,3891.6016,4930.2383
293440561,1.3461,3881.8359,5225.2334
293440601,1.3461,3896.4844,5244.9512
293440640,1.4516,3847.6563,5585.4385
293440679,1.2405,3906.2500,4845.6963
293440718,1.5308,3867.1875,5919.9980
293440758,1.3461,3876.9531,5218.6606
293440798,1.5836,3881.8359,6147.3330
293440837,1.4253,3896.4844,5553.4775
293440877,1.2405,3896.4844,4833.5820
293440916,1.5044,3862.3047,5810.5830
293440956,1.3461,3901.3672,5251.5239
293440996,1.4780,3881.8359,5737.5112
293441035,1.4253,3857.4219,5497.8037
293441075,1.3461,3886.7188,5231.8057
293441114,1.4780,3862.3047,5708.6431
293441154,1.2141,3920.8984,4760.3813
293441193,1.5044,3886.7188,5847.3125
293441232,1.2405,3881.8359,4815.4111
293441272,1.4253,3881.8359,5532.5996
293441311,1.2141,3906.2500,4742.5967
293441351,1.4253,3857.4219,5497.8037
293441390,1.2933,3886.7188,5026.6367
293441430,1.3725,3872.0703,5314.2856
293441470,1.3725,3886.7188,5334.3901
293441509,1.5572,3872.0703,6029.6704
293441549,1.3989,3876.9531,5423.3135
293441588,1.2669,3916.0156,4961.1685
293441628,1.3197,3886.7188,5129.2212
293441668,1.2933,3959.9609,5121.3599
293441707,1.2933,3876.9531,5014.0073
293441746,1.4253,3847.6563,5483.8853
293441785,1.7948,3837.8906,6888.1064
293441825,1.5572,3833.0078,5968.8413
293441865,1.6892,3833.0078,6474.6753
293441904,1.4780,3867.1875,5715.8599
293441944,1.6628,3823.2422,6357.2705
293441983,1.5572,3886.7188,6052.4810
293442023,1.7156,3813.4766,6542.3345
293442063,1.6628,3847.6563,6397.8662
293442102,1.6628,3857.4219,6414.1045
293442142,1.7948,3818.3594,6853.0522
293442181,1.6628,3930.6641,6535.8911
293442221,1.8739,3779.2969,7082.1919
293442260,1.8739,3813.4766,7146.2427
293442299,2.0587,3793.9453,7810.5928
293442339,1.7948,3803.7109,6826.7617
293442378,1.7420,3833.0078,6677.0093
293442418,1.6100,3818.3594,6147.5908
293442458,1.6628,3852.5391,6405.9854
293442497,1.7420,3823.2422,6659.9976
293442537,1.8739,3798.8281,7118.7925
293442576,1.8476,3828.1250,7072.6548
293442616,1.9003,3789.0625,7200.4985
293442655,1.8476,3793.9453,7009.5059
293442695,2.0323,3808.5938,7740.2271
293442735,2.0059,3764.6484,7551.5537
293442774,2.1115,3784.1797,7990.2441
293442813,2.0851,3764.6484,7849.6421
293442852,2.0587,3793.9453,7810.5928
293442892,2.0059,3798.8281,7620.1152
293442932,1.9795,3759.7656,7442.5259
293442971,2.0587,3808.5938,7840.7495
293443011,2.0059,3769.5313,7561.3481
293443050,2.0587,3784.1797,7790.4883
293443090,2.2435,3774.4141,8467.7256
293443130,2.1379,3740.2344,7996.1724
293443169,2.2962,3779.2969,8678.1787
293443209,2.1907,3759.7656,8236.3955
293443248,2.0059,3774.4141,7571.1426
293443288,2.0851,3774.4141,7870.0044
293443328,2.0323,3769.5313,7660.8398
293443366,1.9795,3803.7109,7529.5161
293443406,1.9795,3774.4141,7471.5225
293443445,2.1379,3793.9453,8111.0000
293443485,2.1907,3759.7656,8236.3955
293443525,2.3226,3715.8203,8630.4951
293443564,2.3226,3750.0000,8709.8818
293443604,2.2962,3745.1172,8599.6934
293443643,2.2171,3764.6484,8346.4541
293443683,2.2171,3764.6484,8346.4541
293443723,2.1115,3774.4141,7969.6240
293443762,2.0323,3789.0625,7700.5332
293443802,2.1115,3759.7656,7938.6943
293443841,2.1643,3779.2969,8179.4331
293443880,2.0851,3759.7656,7839.4609
293443920,2.2171,3769.5313,8357.2803
293443959,2.1379,3759.7656,8037.9282
