4.6797,1513.764696.6797,1730.0167
36494457,2.0587,3896.4844,8021.6899
36494495,1.9531,3867.1875,7553.1006
36494534,2.0587,3886.7188,8001.5854
36494572,1.9003,3891.6016,7395.3574
36494611,2.2171,3842.7734,8519.6621
36494649,2.1115,3881.8359,8196.4443
36494688,2.2171,3862.3047,8562.9639
36494727,2.0059,3896.4844,7816.0049
36494765,2.0059,3896.4844,7816.0049
36494803,2.2435,3872.0703,8686.8135
36494841,2.1379,3881.8359,8298.8994
36494880,2.1643,3901.3672,8443.6270
36494918,2.0323,3911.1328,7948.6177
36494957,2.1115,3886.7188,8206.7539
36494996,1.9795,3906.2500,7732.4941
36495034,2.1643,3901.3672,8443.6270
36495073,1.8212,3906.2500,7113.8950
36495111,1.9003,3911.1328,7432.4736
36495150,2.0851,3876.9531,8083.8081
36495187,2.0587,3862.3047,7951.3242
36495226,2.1115,3886.7188,8206.7539
36495265,1.9267,3876.9531,7469.8477
36495303,2.0851,3867.1875,8063.4458
36495342,2.1643,3862.3047,8359.0850
36495380,2.2171,3857.4219,8552.1387
36495419,2.3490,3867.1875,9084.1348
36495458,2.3226,3833.0078,8902.6787
36495496,2.2698,3833.0078,8700.3447
36495535,2.1907,3842.7734,8418.2373
36495572,2.2171,3862.3047,8562.9639
36495611,1.9531,3891.6016,7600.7842
36495649,2.3754,3847.6563,9139.8086
36495688,1.9795,3896.4844,7713.1631
36495727,2.1643,3906.2500,8454.1943
36495765,1.8739,3930.6641,7365.8452
36495804,1.9531,3916.0156,7648.4678
36495842,1.9795,3906.2500,7732.4941
36495881,2.1115,3891.6016,8217.0635
36495919,2.1379,3891.6016,8319.7773
36495958,2.0323,3901.3672,7928.7710
36495996,2.1907,3862.3047,8461.0244
36496034,2.2698,3837.8906,8711.4277
36496073,2.2171,3837.8906,8508.8369
36496111,2.0059,3867.1875,7757.2383
36496150,2.2435,3852.5391,8642.9961
36496189,2.0851,3847.6563,8022.7212
36496227,2.1643,3867.1875,8369.6523
36496266,1.9795,3886.7188,7693.8320
36496304,2.0851,3867.1875,8063.4458
36496343,2.1379,3847.6563,8225.8281
36496380,2.1907,3852.5391,8439.6309
36496419,2.1643,3862.3047,8359.0850
36496458,2.0587,3940.4297,8112.1602
36496496,2.3490,3862.3047,9072.6650
36496535,2.2698,3886.7188,8822.2607
36496573,2.2171,3867.1875,8573.7900
36496612,2.0059,3901.3672,7825.7993
36496650,2.0851,3891.6016,8114.3511
36496689,2.1115,3891.6016,8217.0635
36496728,2.2962,3852.5391,8846.3604
36496765,2.3226,3876.9531,9004.7480
36496804,2.1115,3857.4219,8144.8940
36496842,2.3490,3833.0078,9003.8457
36496881,2.1643,3872.0703,8380.2197
36496920,2.1379,3881.8359,8298.8994
36496958,2.1379,3872.0703,8278.0225
36496997,2.2962,3842.7734,8823.9355
36497035,2.2698,3823.2422,8678.1777
36497074,2.2435,3852.5391,8642.9961
36497112,2.1379,3857.4219,8246.7051
36497150,1.9267,3901.3672,7516.8867
36497189,2.1643,3862.3047,8359.0850
36497227,2.0323,3867.1875,7859.3071
36497266,2.1115,3876.9531,8186.1338
36497304,2.0059,3901.3672,7825.7993
36497343,2.1379,3886.7188,8309.3389
36497381,2.2962,3881.8359,8913.6328
36497420,2.3226,3872.0703,8993.4063
36497459,2.2698,3872.0703,8789.0107
36497497,2.2171,3876.9531,8595.4404
36497536,2.5074,3818.3594,9574.1172
36497573,2.4282,3803.7109,9236.2070
36497612,2.4546,3842.7734,9432.4834
36497650,2.2171,3847.6563,8530.4883
36497689,2.2171,3852.5391,8541.3135
36497728,2.1115,3818.3594,8062.4141
36497766,2.2698,3847.6563,8733.5947
36497805,2.0587,3872.0703,7971.4287
36497843,2.1379,3852.5391,8236.2666
36497882,2.0587,3833.0078,7891.0107
36497921,2.2171,3847.6563,8530.4883
36497958,2.1907,3837.8906,8407.5410
36497997,2.1907,3852.5391,8439.6309
36498035,2.4546,3823.2422,9384.5420
36498074,2.2962,3828.1250,8790.2998
36498112,2.3226,3833.0078,8902.6787
36498151,2.0851,3881.8359,8093.9893
36498190,2.3490,3842.7734,9026.7852
36498228,2.0323,3881.8359,7889.0771
36498267,2.1643,3867.1875,8369.6523
36498305,2.2171,3891.6016,8627.9170
36498343,2.1379,3886.7188,8309.3389
36498381,2.2698,3862.3047,8766.8438
36498420,2.3226,3837.8906,8914.0195
36498459,2.2698,3842.7734,8722.5107
36498497,2.3754,3837.8906,9116.6104
36498536,2.6658,3779.2969,10074.6670
36498575,2.8241,3789.0625,10700.7410
36498615,2.7185,3793.9453,10313.9870
36498655,2.5074,3823.2422,9586.3604
36498693,2.6658,3823.2422,10191.8140
36498733,2.5602,3818.3594,9775.6768
36498770,2.6921,3813.4766,10266.4340
36498810,2.3490,3828.1250,8992.3760
36498848,2.4810,3813.4766,9461.2227
36498887,2.2698,3837.8906,8711.4277
36498926,2.4810,3813.4766,9461.2227
36498964,2.6394,3803.7109,10039.3550
36499004,2.4018,3828.1250,9194.4512
36499042,2.3754,3833.0078,9105.0117
36499081,2.2698,3872.0703,8789.0107
36499120,2.4018,3847.6563,9241.3623
36499158,2.4546,3852.5391,9456.4541
36499196,2.4282,3847.6563,9342.9160
36499234,2.3490,3857.4219,9061.1953
36499273,2.4018,3842.7734,9229.6348
36499311,2.4546,3833.0078,9408.5127
36499350,2.5074,3828.1250,9598.6035
36499389,2.3490,3828.1250,8992.3760
36499427,2.3754,3818.3594,9070.2158
36499466,2.4018,3813.4766,9159.2686
36499504,2.4810,3813.4766,9461.2227
36499543,2.2171,3828.1250,8487.1855
36499580,2.3226,3823.2422,8879.9971
36499619,2.3490,3818.3594,8969.4365
36499658,2.5074,3823.2422,9586.3604
36499696,2.4810,3813.4766,9461.2227
36499735,2.5338,3833.0078,9712.0127
36499773,2.5602,3813.4766,9763.1758
36499812,2.5338,3837.8906,9724.3848
