6370695L	)??8,052.7344,748.7632
263725534,2.3490,3740.2344,8785.9180
263725574,2.2435,3754.8828,8423.9082
263725614,2.3490,3735.3516,8774.4482
263725652,2.3226,3740.2344,8687.2002
263725692,2.2698,3759.7656,8534.0957
263725731,2.3490,3745.1172,8797.3887
263725771,2.4018,3671.8750,8819.1680
263725810,2.2962,3725.5859,8554.8447
263725850,2.3490,3750.0000,8808.8584
263725890,2.3490,3720.7031,8740.0391
263725929,2.4546,3745.1172,9192.7754
263725969,2.4018,3725.5859,8948.1719
263726008,2.2962,3754.8828,8622.1182
263726048,2.2435,3735.3516,8380.0908
263726088,2.3490,3764.6484,8843.2676
263726127,2.2962,3735.3516,8577.2695
263726167,2.2698,3740.2344,8489.7627
263726205,2.3226,3715.8203,8630.4951
263726245,2.2435,3745.1172,8402.0000
263726285,2.4018,3735.3516,8971.6270
263726324,2.4018,3730.4688,8959.8994
263726364,2.3226,3750.0000,8709.8818
263726403,2.3226,3740.2344,8687.2002
263726443,2.3490,3759.7656,8831.7979
263726483,2.2435,3715.8203,8336.2734
263726522,2.2698,3745.1172,8500.8467
263726562,2.2962,3745.1172,8599.6934
263726601,2.2962,3759.7656,8633.3301
263726641,2.3226,3745.1172,8698.5410
263726681,2.2698,3764.6484,8545.1797
263726720,2.2698,3725.5859,8456.5137
263726759,2.2171,3745.1172,8303.1523
263726798,2.3754,3750.0000,8907.8330
263726838,2.2698,3740.2344,8489.7627
263726878,2.3226,3750.0000,8709.8818
263726917,2.2698,3715.8203,8434.3467
263726957,2.2698,3774.4141,8567.3457
263726996,2.1907,3735.3516,8182.9121
263727036,2.2435,3784.1797,8489.6348
263727075,2.2698,3750.0000,8511.9297
263727115,2.1907,3759.7656,8236.3955
263727155,2.3490,3759.7656,8831.7979
263727194,2.1907,3745.1172,8204.3057
263727234,2.2962,3813.4766,8756.6631
263727272,2.2435,3735.3516,8380.0908
263727312,2.2435,3769.5313,8456.7715
263727352,2.3490,3745.1172,8797.3887
263727391,2.4282,3759.7656,9129.4990
263727431,2.4546,3740.2344,9180.7900
263727470,2.3226,3750.0000,8709.8818
263727510,2.2698,3745.1172,8500.8467
263727550,2.2171,3730.4688,8270.6758
263727589,2.2962,3764.6484,8644.5420
263727629,2.2962,3730.4688,8566.0576
263727668,2.2435,3740.2344,8391.0459
263727708,2.2171,3750.0000,8313.9775
263727748,2.1379,3681.6406,7870.9063
263727787,2.1115,3754.8828,7928.3843
263727826,2.1379,3769.5313,8058.8057
263727865,2.1643,3759.7656,8137.1621
263727905,2.2171,3735.3516,8281.5020
263727945,2.2171,3774.4141,8368.1055
263727984,2.2171,3735.3516,8281.5020
263728024,2.2435,3779.2969,8478.6807
263728063,2.1907,3696.2891,8097.3389
263728103,2.2171,3745.1172,8303.1523
263728143,2.2435,3784.1797,8489.6348
263728182,2.1907,3754.8828,8225.6982
263728222,2.1379,3774.4141,8069.2446
263728261,2.1907,3740.2344,8193.6084
263728301,2.1379,3769.5313,8058.8057
263728339,2.1907,3745.1172,8204.3057
263728379,2.3490,3764.6484,8843.2676
263728419,2.3226,3750.0000,8709.8818
263728458,2.1643,3769.5313,8158.2974
263728498,2.1907,3750.0000,8215.0020
263728537,2.1643,3754.8828,8126.5942
263728577,2.1379,3803.7109,8131.8779
263728617,2.2698,3735.3516,8478.6797
263728656,2.1643,3769.5313,8158.2974
263728696,2.1643,3720.7031,8052.6201
263728735,2.1643,3774.4141,8168.8652
263728775,2.1643,3764.6484,8147.7300
263728815,2.1643,3759.7656,8137.1621
263728854,2.1115,3754.8828,7928.3843
263728893,2.2435,3754.8828,8423.9082
263728932,2.2435,3745.1172,8402.0000
263728972,2.1643,3745.1172,8105.4590
263729012,2.1379,3764.6484,8048.3667
263729051,2.2698,3769.5313,8556.2627
263729091,2.2171,3754.8828,8324.8037
263729130,2.2698,3759.7656,8534.0957
263729170,2.2698,3759.7656,8534.0957
263729210,2.1379,3745.1172,8006.6113
263729249,2.1643,3735.3516,8084.3232
263729289,2.1907,3784.1797,8289.8779
263729328,2.0851,3745.1172,7808.9175
263729368,2.1643,3774.4141,8168.8652
263729408,2.0851,3784.1797,7890.3667
263729446,2.0587,3769.5313,7760.3315
263729486,2.1379,3779.2969,8079.6836
263729525,2.2435,3754.8828,8423.9082
263729565,2.1643,3784.1797,8190.0005
263729604,2.1907,3754.8828,8225.6982
263729644,2.1379,3779.2969,8079.6836
263729684,2.1379,3759.7656,8037.9282
263729723,2.2171,3764.6484,8346.4541
263729763,2.1907,3764.6484,8247.0918
263729802,2.2698,3754.8828,8523.0127
263729842,2.1643,3715.8203,8042.0522
263729882,2.1115,3759.7656,7938.6943
263729921,2.2171,3764.6484,8346.4541
263729960,2.0587,3769.5313,7760.3315
263729999,2.0851,3759.7656,7839.4609
263730039,2.0851,3759.7656,7839.4609
263730079,2.1907,3754.8828,8225.6982
263730118,2.1379,3769.5313,8058.8057
263730158,2.1643,3750.0000,8116.0264
263730197,2.1115,3754.8828,7928.3843
263730237,2.1379,3764.6484,8048.3667
263730277,2.1643,3779.2969,8179.4331
263730316,2.1643,3774.4141,8168.8652
263730356,2.1115,3764.6484,7949.0039
263730395,2.0851,3803.7109,7931.0913
263730435,2.0851,3750.0000,7819.0986
263730475,2.1907,3779.2969,8279.1816
263730513,2.2171,3764.6484,8346.4541
263730553,2.0587,3774.4141,7770.3838
263730592,2.1643,3784.1797,8190.0005
263730632,2.0587,3754.8828,7730.1748
263730672,1.9795,3764.6484,7452.1914
263730711,1.9267,3789.0625,7300.5059
263730751,1.9795,3793.9453,7510.1851
263730790,2.0587,3774.4141,7770.3838
263730830,2.1379,3764.6484,8048.3667
263730869,2.2171,3833.0078,8498.0117
263730909,2.1907,3720.7031,8150.8223
263730949,2.2171,3779.2969,8378.9307
263730988,2.2435,3750.0000,8412.9541
263731027,2.1115,3779.2969,7979.9341
263731066,2.1379,3750.0000,8017.0503
263731106,2.1115,3754.8828,7928.3843
263731146,2.0323,3774.4141,7670.7632
263731185,2.3226,3740.2344,8687.2002
263731225,2.1907,3789.0625,8300.5752
263731264,2.1115,3750.0000,7918.0742
263731304,2.1379,3798.8281,8121.4390
263731344,2.1907,3769.5313,8257.7881
263731383,2.1379,3764.6484,8048.3667
263731423,2.1115,3789.0625,8000.5542
263731462,2.1115,3774.4141,7969.6240
263731502,2.0851,3793.9453,7910.7290
263731542,2.2435,3745.1172,8402.0000
263731580,2.0851,3789.0625,7900.5479
263731620,2.0587,3789.0625,7800.5405
263731659,2.1643,3759.7656,8137.1621
263731699,2.1379,3764.6484,8048.3667
263731739,2.1379,3769.5313,8058.8057
263731778,2.0851,3769.5313,7859.8232
263731818,2.0851,3715.8203,7747.8311
263731857,2.1115,3803.7109,8031.4839
263731897,2.1379,3759.7656,8037.9282
263731937,2.1115,3745.1172,7907.7642
263731976,2.2435,3754.8828,8423.9082
263732016,2.1643,3735.3516,8084.3232
263732055,2.2171,3769.5313,8357.2803
263732094,2.1115,3750.0000,7918.0742
263732133,2.1379,3813.4766,8152.7554
263732173,2.1115,3754.8828,7928.3843
263732213,2.0851,3798.8281,7920.9102
263732252,2.0851,3774.4141,7870.0044
263732292,2.0851,3754.8828,7829.2798
263732331,2.1115,3808.5938,8041.7939
263732371,2.1907,3750.0000,8215.0020
263732411,2.2171,3759.7656,8335.6289
263732450,2.2171,3735.3516,8281.5020
263732490,2.2171,3774.4141,8368.1055
263732529,2.1643,3745.1172,8105.4590
263732569,2.1379,3779.2969,8079.6836
263732609,2.0587,3784.1797,7790.4883
263732647,2.0323,3745.1172,7611.2231
263732687,2.1379,3774.4141,8069.2446
263732726,2.1115,3759.7656,7938.6943
263732766,2.1115,3789.0625,8000.5542
263732806,2.1115,3745.1172,7907.7642
263732845,2.1115,3784.1797,7990.2441
263732885,2.1115,3754.8828,7928.3843
263732924,2.2171,3769.5313,8357.2803
263732964,2.1643,3769.5313,8158.2974
263733004,2.2698,3740.2344,8489.7627
263733043,2.1907,3750.0000,8215.0020
263733083,2.1907,3740.2344,8193.6084
263733122,2.0851,3798.8281,7920.9102
263733161,2.0587,3745.1172,7710.0703
263733201,2.1115,3740.2344,7897.4541
