,3935.5469,1454.2245
35025057,2.4810,3808.5938,9449.1084
35025096,2.5602,3798.8281,9725.6738
35025134,2.6394,3793.9453,10013.5800
35025174,2.6921,3798.8281,10226.9970
35025214,2.5866,3833.0078,9914.3467
35025252,2.5338,3828.1250,9699.6406
35025291,2.5866,3808.5938,9851.1982
35025329,2.6130,3793.9453,9913.4453
35025368,2.5338,3793.9453,9613.0371
35025405,2.5338,3779.2969,9575.9209
35025444,2.5866,3793.9453,9813.3086
35025483,2.5602,3813.4766,9763.1758
35025521,2.5074,3837.8906,9623.0898
35025560,2.4282,3847.6563,9342.9160
35025598,2.4546,3833.0078,9408.5127
35025637,2.4810,3828.1250,9497.5654
35025675,2.4546,3813.4766,9360.5713
35025714,2.5602,3803.7109,9738.1748
35025753,2.6130,3793.9453,9913.4453
35025790,2.6394,3779.2969,9974.9180
35025829,2.6658,3779.2969,10074.6670
35025868,2.6130,3808.5938,9951.7207
35025907,2.7185,3784.1797,10287.4390
35025947,2.8505,3798.8281,10828.5850
35025986,2.5338,3793.9453,9613.0371
35026025,2.4546,3798.8281,9324.6152
35026063,2.5338,3798.8281,9625.4082
35026102,2.6130,3808.5938,9951.7207
35026140,2.5866,3823.2422,9889.0869
35026179,2.6394,3823.2422,10090.9050
35026219,2.5338,3818.3594,9674.8965
35026256,2.6921,3798.8281,10226.9970
35026296,2.5602,3793.9453,9713.1729
35026334,2.5866,3793.9453,9813.3086
35026373,2.6394,3798.8281,10026.4680
35026413,2.6394,3818.3594,10078.0180
35026452,2.5602,3842.7734,9838.1816
35026491,2.3754,3852.5391,9151.4072
35026529,2.4546,3808.5938,9348.5859
35026568,2.4282,3818.3594,9271.7764
35026606,2.4810,3784.1797,9388.5371
35026644,2.4546,3808.5938,9348.5859
35026683,2.6658,3793.9453,10113.7160
35026722,2.6130,3779.2969,9875.1689
35026761,2.7185,3803.7109,10340.5350
35026800,2.7449,3789.0625,10400.7210
35026840,2.5866,3789.0625,9800.6787
35026879,2.5866,3793.9453,9813.3086
35026917,2.6130,3803.7109,9938.9619
35026956,2.4546,3833.0078,9408.5127
35026994,2.3226,3857.4219,8959.3838
35027033,2.3754,3842.7734,9128.2100
35027070,2.6130,3813.4766,9964.4795
35027109,2.6658,3798.8281,10126.7320
35027149,2.5338,3784.1797,9588.2930
35027187,2.5074,3789.0625,9500.6582
35027226,2.6130,3808.5938,9951.7207
35027264,2.5866,3818.3594,9876.4580
35027303,2.6130,3823.2422,9989.9971
35027342,2.5074,3828.1250,9598.6035
35027380,2.4546,3813.4766,9360.5713
35027419,2.5338,3823.2422,9687.2686
35027457,2.5866,3789.0625,9800.6787
35027495,2.5074,3779.2969,9476.1719
35027533,2.4546,3803.7109,9336.6006
35027572,2.5338,3818.3594,9674.8965
35027611,2.4282,3828.1250,9295.4893
35027649,2.3226,3852.5391,8948.0430
35027688,2.5074,3828.1250,9598.6035
35027726,2.5866,3823.2422,9889.0869
35027765,2.4282,3779.2969,9176.9248
35027803,2.4810,3798.8281,9424.8799
35027842,2.5602,3798.8281,9725.6738
35027880,2.7185,3789.0625,10300.7130
35027919,2.7185,3818.3594,10380.3580
35027959,2.5866,3823.2422,9889.0869
35027997,2.5338,3813.4766,9662.5244
35028036,2.5074,3813.4766,9561.8740
35028075,2.5602,3798.8281,9725.6738
35028113,2.3226,3813.4766,8857.3145
35028152,2.4018,3842.7734,9229.6348
35028190,2.4018,3823.2422,9182.7236
35028229,2.4810,3828.1250,9497.5654
35028267,2.5338,3828.1250,9699.6406
35028305,2.4546,3833.0078,9408.5127
35028344,2.4282,3828.1250,9295.4893
35028382,2.5338,3793.9453,9613.0371
35028421,2.5074,3852.5391,9659.8193
35028459,2.4546,3808.5938,9348.5859
35028498,2.4546,3828.1250,9396.5273
35028536,2.4810,3833.0078,9509.6797
35028575,2.6658,3818.3594,10178.7980
35028615,2.5074,3823.2422,9586.3604
35028653,2.6130,3813.4766,9964.4795
35028691,2.6394,3803.7109,10039.3550
35028730,2.6921,3720.7031,10016.6740
35028770,2.6394,3789.0625,10000.6920
35028810,2.5074,3818.3594,9574.1172
35028848,2.5602,3837.8906,9825.6807
35028887,2.6130,3813.4766,9964.4795
35028925,2.6394,3798.8281,10026.4680
35028965,2.5866,3784.1797,9788.0498
35029003,2.5602,3779.2969,9675.6699
35029042,2.6394,3793.9453,10013.5800
35029082,2.5866,3828.1250,9901.7168
