944,r???b???r??47,1166.7046
261163727,2.0323,3784.1797,7690.6099
261163766,1.9531,3735.3516,7295.6084
261163806,1.9531,3789.0625,7400.5127
261163845,2.0323,3774.4141,7670.7632
261163885,1.9795,3789.0625,7500.5195
261163925,2.1115,3750.0000,7918.0742
261163964,2.0587,3764.6484,7750.2793
261164004,2.2171,3774.4141,8368.1055
261164043,2.2962,3750.0000,8610.9053
261164083,2.1115,3769.5313,7959.3140
261164123,2.2171,3725.5859,8259.8506
261164162,2.2435,3764.6484,8445.8174
261164201,2.2962,3691.4063,8476.3604
261164240,2.2171,3750.0000,8313.9775
261164280,2.2435,3789.0625,8500.5889
261164320,2.1643,3759.7656,8137.1621
261164359,2.1643,3735.3516,8084.3232
261164399,2.2171,3740.2344,8292.3271
261164438,2.1379,3745.1172,8006.6113
261164478,2.1643,3735.3516,8084.3232
261164518,2.1115,3740.2344,7897.4541
261164557,2.0851,3735.3516,7788.5557
261164597,2.0851,3764.6484,7849.6421
261164636,2.0851,3745.1172,7808.9175
261164676,2.2171,3764.6484,8346.4541
261164715,2.1643,3754.8828,8126.5942
261164754,2.1643,3750.0000,8116.0264
261164794,2.1643,3750.0000,8116.0264
261164833,2.2171,3735.3516,8281.5020
261164873,2.1907,3784.1797,8289.8779
261164912,2.1115,3730.4688,7876.8340
261164952,2.1379,3759.7656,8037.9282
261164992,2.2171,3735.3516,8281.5020
261165031,2.2698,3710.9375,8423.2637
261165071,2.2171,3725.5859,8259.8506
261165110,2.1643,3745.1172,8105.4590
261165150,2.2698,3710.9375,8423.2637
261165190,2.1907,3745.1172,8204.3057
261165229,2.2698,3750.0000,8511.9297
261165268,2.2698,3730.4688,8467.5967
261165307,2.1379,3745.1172,8006.6113
261165347,2.1379,3740.2344,7996.1724
261165387,2.2435,3764.6484,8445.8174
261165426,2.2698,3735.3516,8478.6797
261165466,2.2171,3759.7656,8335.6289
261165505,2.2435,3725.5859,8358.1826
261165545,2.2171,3691.4063,8184.0723
261165585,2.2698,3735.3516,8478.6797
261165624,2.2171,3730.4688,8270.6758
261165664,2.1907,3735.3516,8182.9121
261165703,2.1379,3725.5859,7964.8560
261165743,2.2171,3754.8828,8324.8037
261165783,2.2962,3759.7656,8633.3301
261165821,2.2435,3754.8828,8423.9082
261165861,2.1379,3735.3516,7985.7339
261165900,2.2698,3759.7656,8534.0957
261165940,2.2435,3725.5859,8358.1826
261165979,2.1907,3750.0000,8215.0020
261166019,2.1907,3735.3516,8182.9121
261166059,2.1907,3891.6016,8525.2041
261166098,2.2435,3754.8828,8423.9082
261166138,2.2171,3710.9375,8227.3740
261166177,2.1907,3750.0000,8215.0020
261166217,2.2698,3730.4688,8467.5967
261166257,2.2962,3764.6484,8644.5420
261166296,2.2435,3725.5859,8358.1826
261166336,2.1907,3754.8828,8225.6982
261166374,2.1643,3730.4688,8073.7554
261166414,2.2435,3750.0000,8412.9541
261166454,2.1643,3735.3516,8084.3232
261166493,2.1907,3730.4688,8172.2153
261166533,2.2698,3745.1172,8500.8467
261166572,2.2962,3740.2344,8588.4814
261166612,2.1907,3740.2344,8193.6084
261166652,2.2171,3720.7031,8249.0254
261166691,2.1643,3769.5313,8158.2974
261166731,2.3226,3710.9375,8619.1543
261166770,2.3490,3764.6484,8843.2676
261166810,2.2435,3730.4688,8369.1367
261166850,2.2171,3735.3516,8281.5020
261166888,2.2698,3745.1172,8500.8467
261166928,2.2698,3720.7031,8445.4297
261166967,2.2435,3740.2344,8391.0459
261167007,2.2698,3701.1719,8401.0967
261167047,2.2962,3720.7031,8543.6328
261167086,2.2171,3720.7031,8249.0254
261167126,2.2171,3745.1172,8303.1523
261167165,2.2171,3715.8203,8238.1992
261167205,2.1907,3764.6484,8247.0918
