8,4038.??9,76.569
357199521,1.5044,3847.6563,5788.5454
357199561,1.5044,3833.0078,5766.5078
357199600,1.3989,3881.8359,5430.1440
357199640,1.5308,3862.3047,5912.5234
357199679,1.6364,3837.8906,6280.3320
357199719,1.6364,3833.0078,6272.3418
357199759,1.3989,3891.6016,5443.8047
357199798,1.6892,3837.8906,6482.9233
357199838,1.5308,3813.4766,5837.7759
357199877,1.6100,3842.7734,6186.8979
357199917,1.4253,3881.8359,5532.5996
357199956,1.8212,3823.2422,6962.7246
357199995,1.5308,3862.3047,5912.5234
357200035,1.6100,3852.5391,6202.6206
357200074,1.3989,3847.6563,5382.3315
357200114,1.2141,3886.7188,4718.8838
357200154,1.1349,3920.8984,4449.9214
357200193,1.2405,3901.3672,4839.6392
357200233,1.5308,3837.8906,5875.1494
357200272,1.6892,3808.5938,6433.4355
357200312,1.9003,3823.2422,7265.4517
357200352,1.6364,3842.7734,6288.3223
357200391,1.6628,3842.7734,6389.7471
357200431,1.1877,3920.8984,4656.8945
357200470,1.2405,3906.2500,4845.6963
357200509,1.2933,3891.6016,5032.9517
357200549,1.5044,3925.7813,5906.0791
357200588,1.4516,3876.9531,5627.9673
357200628,1.8739,3808.5938,7137.0923
357200667,1.6892,3823.2422,6458.1792
357200707,1.5308,3876.9531,5934.9473
357200747,1.2933,3901.3672,5045.5815
357200786,1.1877,3901.3672,4633.6973
357200826,1.3725,3886.7188,5334.3901
357200865,1.2669,3901.3672,4942.6104
357200905,1.3989,3867.1875,5409.6528
357200944,1.5044,3872.0703,5825.2744
357200984,1.7948,3798.8281,6817.9985
357201024,1.7948,3818.3594,6853.0522
357201062,2.0323,3793.9453,7710.4565
357201102,1.3461,3891.6016,5238.3784
357201141,1.3989,3886.7188,5436.9746
357201181,1.2669,3872.0703,4905.4941
357201221,1.3461,3876.9531,5218.6606
357201260,1.3197,3901.3672,5148.5522
357201300,1.5044,3852.5391,5795.8911
357201339,1.6892,3823.2422,6458.1792
357201379,1.7156,3852.5391,6609.3496
357201419,2.0587,3793.9453,7810.5928
357201458,1.8739,3789.0625,7100.4922
357201498,1.9003,3813.4766,7246.8936
357201537,1.6364,3842.7734,6288.3223
357201576,1.6628,3833.0078,6373.5088
357201616,1.4780,3862.3047,5708.6431
357201655,1.7684,3847.6563,6804.0796
357201695,1.7948,3828.1250,6870.5791
357201734,1.8476,3808.5938,7036.5698
357201774,2.0851,3789.0625,7900.5479
357201814,1.9531,3784.1797,7390.9761
357201853,1.8476,3793.9453,7009.5059
357201893,1.6892,3837.8906,6482.9233
357201932,1.7156,3813.4766,6542.3345
357201972,2.0323,3789.0625,7700.5332
357202012,2.0059,3842.7734,7708.2656
357202051,2.0587,3798.8281,7820.6450
357202091,2.1115,3750.0000,7918.0742
357202129,2.2171,3730.4688,8270.6758
357202169,2.0059,3798.8281,7620.1152
357202208,2.0323,3793.9453,7710.4565
357202248,1.9267,3784.1797,7291.0981
357202288,1.8212,3857.4219,7024.9712
357202327,1.7156,3842.7734,6592.5957
357202367,1.7948,3798.8281,6817.9985
357202406,1.8739,3789.0625,7100.4922
357202446,2.1115,3759.7656,7938.6943
357202486,2.1379,3774.4141,8069.2446
357202525,2.0059,3759.7656,7541.7593
357202565,2.2435,3750.0000,8412.9541
357202604,2.0851,3769.5313,7859.8232
357202643,2.1115,3759.7656,7938.6943
357202683,1.9003,3818.3594,7256.1729
357202722,2.1115,3784.1797,7990.2441
357202762,2.0323,3774.4141,7670.7632
357202801,1.9267,3789.0625,7300.5059
357202841,2.0059,3808.5938,7639.7041
357202881,2.2962,3750.0000,8610.9053
357202920,2.2171,3745.1172,8303.1523
357202960,1.9795,3803.7109,7529.5161
357202999,2.1115,3808.5938,8041.7939
357203039,2.1907,3740.2344,8193.6084
357203079,2.0323,3769.5313,7660.8398
357203118,2.0323,3789.0625,7700.5332
357203158,2.1907,3764.6484,8247.0918
357203196,2.4018,3740.2344,8983.3545
357203236,2.1907,3632.8125,7958.2832
357203276,2.1907,3789.0625,8300.5752
357203315,2.2962,3759.7656,8633.3301
357203355,2.2698,3774.4141,8567.3457
357203394,2.1115,3769.5313,7959.3140
357203434,2.0587,3740.2344,7700.0181
357203473,2.2698,3764.6484,8545.1797
357203513,2.1115,3745.1172,7907.7642
357203553,2.1115,3754.8828,7928.3843
357203592,1.9795,3803.7109,7529.5161
357203632,2.0851,3764.6484,7849.6421
357203671,2.0851,3764.6484,7849.6421
357203710,1.9267,3784.1797,7291.0981
357203750,2.1379,3808.5938,8142.3169
357203789,2.1379,3740.2344,7996.1724
357203829,2.4546,3730.4688,9156.8193
357203868,2.1907,3789.0625,8300.5752
357203908,2.2698,3769.5313,8556.2627
357203948,2.2962,3740.2344,8588.4814
357203987,2.1643,3750.0000,8116.0264
357204027,2.1643,3769.5313,8158.2974
357204066,2.4546,3725.5859,9144.8340
357204106,2.4546,3745.1172,9192.7754
357204146,2.1907,3745.1172,8204.3057
357204185,2.2435,3740.2344,8391.0459
357204225,2.3754,3759.7656,8931.0313
357204263,2.1379,3779.2969,8079.6836
357204303,2.1115,3759.7656,7938.6943
357204343,2.0587,3789.0625,7800.5405
357204382,2.1379,3774.4141,8069.2446
357204422,2.1907,3754.8828,8225.6982
357204461,2.1643,3745.1172,8105.4590
357204501,2.1379,3784.1797,8090.1226
357204541,2.2698,3745.1172,8500.8467
357204580,2.0059,3769.5313,7561.3481
357204620,2.1643,3798.8281,8221.7041
357204659,2.0851,3754.8828,7829.2798
357204699,2.3226,3745.1172,8698.5410
357204738,2.0323,3793.9453,7710.4565
357204777,2.1379,3779.2969,8079.6836
357204817,2.4018,3730.4688,8959.8994
357204856,2.1643,3779.2969,8179.4331
357204896,2.1643,3779.2969,8179.4331
357204935,2.0851,3745.1172,7808.9175
357204975,2.2435,3754.8828,8423.9082
357205015,2.0851,3784.1797,7890.3667
357205054,2.2698,3745.1172,8500.8467
357205094,2.2171,3730.4688,8270.6758
357205133,2.2171,3769.5313,8357.2803
357205173,2.2171,3740.2344,8292.3271
357205213,2.0851,3710.9375,7737.6499
357205252,2.1643,3779.2969,8179.4331
357205292,2.0323,3750.0000,7621.1465
357205330,2.1115,3813.4766,8052.1040
357205370,2.2435,3735.3516,8380.0908
357205410,2.3226,3715.8203,8630.4951
357205449,2.3226,3735.3516,8675.8594
357205489,2.3754,3754.8828,8919.4326
357205528,2.4810,3715.8203,9218.9375
357205568,2.2962,3715.8203,8532.4209
357205608,2.4282,3745.1172,9093.9297
357205647,2.6394,3706.0547,9781.6055
357205687,2.4282,3745.1172,9093.9297
357205726,2.1115,3759.7656,7938.6943
357205766,2.0323,3759.7656,7640.9932
357205806,2.0323,3769.5313,7660.8398
357205844,2.0323,3784.1797,7690.6099
357205884,2.0587,3759.7656,7740.2271
357205923,2.1115,3774.4141,7969.6240
357205963,2.2435,3750.0000,8412.9541
357206002,2.2698,3754.8828,8523.0127
357206042,2.3226,3730.4688,8664.5176
357206082,2.2698,3754.8828,8523.0127
357206121,2.4018,3735.3516,8971.6270
357206161,2.1379,3750.0000,8017.0503
357206200,2.1643,3784.1797,8190.0005
357206240,2.2171,3745.1172,8303.1523
357206280,2.2698,3828.1250,8689.2617
357206319,2.1643,3774.4141,8168.8652
357206359,2.1907,3759.7656,8236.3955
357206397,2.4018,3740.2344,8983.3545
357206437,2.1643,3759.7656,8137.1621
357206477,2.2171,3764.6484,8346.4541
357206516,2.2171,3764.6484,8346.4541
357206556,2.1907,3750.0000,8215.0020
357206595,2.1115,3759.7656,7938.6943
357206635,2.0851,3759.7656,7839.4609
357206675,2.1379,3750.0000,8017.0503
357206714,2.0851,3774.4141,7870.0044
357206754,2.0851,3764.6484,7849.6421
357206793,2.1907,3750.0000,8215.0020
357206833,2.3754,3754.8828,8919.4326
357206873,2.2171,3764.6484,8346.4541
357206912,2.1907,3750.0000,8215.0020
357206951,2.1907,3779.2969,8279.1816
357206990,2.2698,3745.1172,8500.8467
357207030,2.3754,3715.8203,8826.6426
357207070,2.1907,3730.4688,8172.2153
357207109,2.4018,3740.2344,8983.3545
357207149,2.1907,3730.4688,8172.2153
357207188,2.4018,3730.4688,8959.8994
357207228,2.1907,3750.0000,8215.0020
357207267,2.3226,3706.0547,8607.8125
357207307,2.1115,3769.5313,7959.3140
357207347,2.0851,3779.2969,7880.1855
357207386,2.3226,3740.2344,8687.2002
357207426,2.2435,3745.1172,8402.0000
357207464,2.2171,3691.4063,8184.0723
357207504,2.3754,3740.2344,8884.6357
357207544,2.2435,3735.3516,8380.0908
357207583,2.0851,3769.5313,7859.8232
357207623,2.1643,3735.3516,8084.3232
357207662,2.2698,3706.0547,8412.1807
357207702,2.4018,3730.4688,8959.8994
357207742,2.1907,3740.2344,8193.6084
357207781,2.3226,3725.5859,8653.1768
357207821,2.1643,3784.1797,8190.0005
357207860,2.2698,3769.5313,8556.2627
357207900,1.9267,3769.5313,7262.8745
357207940,2.1643,3774.4141,8168.8652
357207979,2.0323,3759.7656,7640.9932
357208018,2.0323,3730.4688,7581.4531
357208057,2.1115,3784.1797,7990.2441
357208097,2.0059,3769.5313,7561.3481
357208137,2.1643,3750.0000,8116.0264
357208176,2.2171,3745.1172,8303.1523
357208216,2.2962,3750.0000,8610.9053
357208255,2.4282,3715.8203,9022.7900
357208295,2.1907,3750.0000,8215.0020
