51482,0I??b???.9688,1173.7927
265075717,2.1643,3764.6484,8147.7300
265075756,2.1379,3769.5313,8058.8057
265075795,2.1643,3774.4141,8168.8652
265075834,2.1643,3769.5313,8158.2974
265075874,2.2435,3759.7656,8434.8633
265075913,2.1643,3750.0000,8116.0264
265075953,2.1907,3779.2969,8279.1816
265075993,2.0323,3750.0000,7621.1465
265076032,2.1643,3774.4141,8168.8652
265076072,2.1115,3750.0000,7918.0742
265076111,2.2171,3769.5313,8357.2803
265076151,2.0851,3759.7656,7839.4609
265076191,2.1643,3754.8828,8126.5942
265076230,2.1379,3754.8828,8027.4893
265076270,2.1379,3730.4688,7975.2949
265076308,2.1379,3769.5313,8058.8057
265076348,2.1643,3735.3516,8084.3232
265076388,2.2171,3774.4141,8368.1055
265076427,2.1379,3750.0000,8017.0503
265076467,2.0851,3754.8828,7829.2798
265076506,2.1643,3769.5313,8158.2974
265076546,2.1643,3725.5859,8063.1880
265076586,2.3226,3774.4141,8766.5869
265076625,2.1115,3735.3516,7887.1440
265076665,2.1643,3764.6484,8147.7300
265076704,2.2171,3745.1172,8303.1523
265076744,2.0851,3769.5313,7859.8232
265076784,2.1115,3745.1172,7907.7642
265076823,2.0851,3759.7656,7839.4609
265076862,2.0851,3774.4141,7870.0044
265076901,2.1379,3750.0000,8017.0503
265076941,2.1379,3793.9453,8111.0000
265076981,2.1379,3769.5313,8058.8057
265077020,2.1115,3779.2969,7979.9341
265077060,2.1115,3764.6484,7949.0039
265077099,2.1379,3745.1172,8006.6113
265077139,2.0851,3774.4141,7870.0044
265077178,2.0851,3730.4688,7778.3745
265077218,2.2698,3754.8828,8523.0127
265077258,2.1643,3735.3516,8084.3232
265077297,2.0851,3603.5156,7513.6650
265077337,2.0587,3754.8828,7730.1748
265077376,2.2435,3750.0000,8412.9541
265077415,2.1379,3769.5313,8058.8057
265077455,2.0587,3759.7656,7740.2271
265077494,2.1643,3774.4141,8168.8652
265077534,2.1379,3745.1172,8006.6113
265077573,2.1379,3789.0625,8100.5610
265077613,2.0851,3745.1172,7808.9175
265077653,2.2435,3769.5313,8456.7715
265077692,2.1379,3764.6484,8048.3667
265077732,2.2171,3750.0000,8313.9775
