4
264113273,0.1848,4038.0859,746.0569
264113311,0.2111,4013.6719,847.4814
264113350,0.1848,4038.0859,746.0569
264113388,0.2375,4033.2031,958.0560
264113427,0.2903,4038.0859,1172.3750
264113467,0.2375,4038.0859,959.2159
264113505,0.2375,4038.0859,959.2159
264113544,0.2375,4038.0859,959.2159
264113582,0.2375,4038.0859,959.2159
264113620,0.2375,4033.2031,958.0560
264113659,0.2375,4042.9688,960.3758
264113697,0.2639,4033.2031,1064.5067
264113737,0.2639,4042.9688,1067.0842
264113776,0.3167,4033.2031,1277.4081
264113816,0.2903,4023.4375,1168.1222
264113855,0.2903,4033.2031,1170.9574
264113895,0.4223,4038.0859,1705.2728
264113935,3.4840,3525.3906,12282.2940
264113975,3.7215,3417.9688,12719.9530
264114016,3.1672,3579.1016,11335.8370
264114056,2.4810,3701.1719,9182.5947
264114096,1.8476,3818.3594,7054.6123
264114136,1.7948,3808.5938,6835.5254
264114174,1.6892,3828.1250,6466.4272
264114214,1.8212,3833.0078,6980.5093
264114253,1.7420,3808.5938,6634.4805
264114293,1.7948,3837.8906,6888.1064
264114333,2.0323,3793.9453,7710.4565
264114372,1.9003,3818.3594,7256.1729
264114412,1.9531,3779.2969,7381.4395
264114451,1.9795,3784.1797,7490.8540
264114491,2.1643,3798.8281,8221.7041
264114531,2.0323,3764.6484,7650.9165
264114570,1.9003,3808.5938,7237.6147
264114610,1.7684,3793.9453,6709.0986
264114649,1.8212,3828.1250,6971.6172
264114689,1.7156,3823.2422,6559.0884
264114728,1.6892,3808.5938,6433.4355
264114767,1.7948,3837.8906,6888.1064
264114807,1.9003,3779.2969,7181.9409
264114846,1.9267,3701.1719,7131.1646
264114886,1.9003,3784.1797,7191.2197
264114926,1.9267,3784.1797,7291.0981
264114965,1.9795,3808.5938,7539.1821
264115005,1.8476,3764.6484,6955.3784
264115044,1.8739,3818.3594,7155.3926
264115084,1.8476,3784.1797,6991.4634
264115124,1.7948,3803.7109,6826.7617
264115163,1.9003,3833.0078,7284.0098
264115203,1.8476,3803.7109,7027.5483
264115241,1.8739,3808.5938,7137.0923
264115281,1.8476,3808.5938,7036.5698
264115320,1.9003,3789.0625,7200.4985
264115360,1.8476,3818.3594,7054.6123
264115400,1.9531,3784.1797,7390.9761
264115439,1.8212,3818.3594,6953.8325
264115479,1.9531,3818.3594,7457.7334
264115518,1.8476,3789.0625,7000.4849
264115558,1.9003,3823.2422,7265.4517
264115598,1.7420,3867.1875,6736.5493
264115637,1.6892,3798.8281,6416.9395
264115677,1.9267,3828.1250,7375.7690
264115716,1.7156,3793.9453,6508.8271
264115756,1.8212,3828.1250,6971.6172
264115795,1.8476,3813.4766,7045.5908
264115834,1.7948,3798.8281,6817.9985
264115874,1.8476,3828.1250,7072.6548
264115913,1.8476,3793.9453,7009.5059
264115953,1.7420,3813.4766,6642.9863
264115993,1.7420,3823.2422,6659.9976
264116032,1.7948,3798.8281,6817.9985
264116072,1.7684,3833.0078,6778.1758
264116111,1.8212,3891.6016,7087.2178
264116151,1.8212,3798.8281,6918.2627
264116191,1.7948,3828.1250,6870.5791
264116230,1.7420,3808.5938,6634.4805
264116270,1.7684,3833.0078,6778.1758
264116308,1.7948,3823.2422,6861.8159
264116348,1.7948,3798.8281,6817.9985
264116388,1.8476,3823.2422,7063.6333
264116427,1.7948,3808.5938,6835.5254
264116467,1.7948,3813.4766,6844.2886
264116506,1.9003,3833.0078,7284.0098
264116546,1.8212,3789.0625,6900.4780
264116585,1.8212,3793.9453,6909.3706
264116625,1.7420,3857.4219,6719.5376
264116665,1.7420,3818.3594,6651.4917
264116704,1.7948,3833.0078,6879.3428
264116744,1.7156,3818.3594,6550.7114
264116783,1.7156,3837.8906,6584.2188
264116823,1.6628,3818.3594,6349.1514
264116862,1.6628,3813.4766,6341.0322
264116901,1.7420,3847.6563,6702.5264
264116941,1.6628,3808.5938,6332.9131
264116980,1.5836,3837.8906,6077.7407
264117020,1.7156,3833.0078,6575.8418
264117060,1.6628,3833.0078,6373.5088
264117099,1.7684,3847.6563,6804.0796
264117139,1.6628,3696.2891,6146.1733
264117178,1.7420,3823.2422,6659.9976
264117218,1.8212,3842.7734,6998.2939
264117258,1.6628,3828.1250,6365.3896
264117297,1.7948,3847.6563,6905.6333
264117337,1.6364,3803.7109,6224.4004
264117376,1.6892,3808.5938,6433.4355
264117415,1.7948,3842.7734,6896.8696
264117455,1.7684,3798.8281,6717.7334
264117494,1.7156,3837.8906,6584.2188
264117534,1.7684,3818.3594,6752.2720
264117573,1.6892,3813.4766,6441.6836
264117613,1.7684,3833.0078,6778.1758
264117653,1.7948,3798.8281,6817.9985
264117692,1.8212,3837.8906,6989.4019
264117732,1.6892,3823.2422,6458.1792
264117771,1.7420,3813.4766,6642.9863
264117811,1.8212,3847.6563,7007.1865
264117850,1.7420,3828.1250,6668.5034
264117890,1.7156,3867.1875,6634.4800
264117929,1.7420,3823.2422,6659.9976
264117968,1.7684,3813.4766,6743.6372
264118008,1.6628,3847.6563,6397.8662
264118047,1.6628,3789.0625,6300.4365
264118087,1.6892,3818.3594,6449.9316
264118127,1.6628,3828.1250,6365.3896
264118166,1.7948,3813.4766,6844.2886
264118206,1.6892,3847.6563,6499.4194
264118245,1.7420,3808.5938,6634.4805
264118285,1.6364,3852.5391,6304.3027
264118325,1.6892,3837.8906,6482.9233
264118364,1.6100,3813.4766,6139.7295
