6872	r??S,438.0859,959.2159
33510003,2.3226,3798.8281,8823.2920
33510041,2.3226,3784.1797,8789.2686
33510080,2.3754,3769.5313,8954.2285
33510118,2.3490,3789.0625,8900.6172
33510157,2.4282,3750.0000,9105.7861
33510196,2.4018,3759.7656,9030.2646
33510234,2.4546,3774.4141,9264.6875
33510273,2.5074,3745.1172,9390.4707
33510310,2.4546,3779.2969,9276.6729
33510349,2.2698,3759.7656,8534.0957
33510387,2.2962,3774.4141,8666.9658
33510426,2.3754,3784.1797,8989.0244
33510465,2.3490,3764.6484,8843.2676
33510503,2.3226,3789.0625,8800.6094
33510542,2.2435,3759.7656,8434.8633
33510580,2.4282,3774.4141,9165.0684
33510619,2.2962,3784.1797,8689.3906
33510657,2.3490,3759.7656,8831.7979
33510695,2.3754,3769.5313,8954.2285
33510734,2.4546,3769.5313,9252.7021
33510772,2.4282,3759.7656,9129.4990
33510811,2.3490,3774.4141,8866.2070
33510849,2.4018,3764.6484,9041.9922
33510888,2.2962,3779.2969,8678.1787
33510927,2.3490,3784.1797,8889.1475
33510965,2.3754,3774.4141,8965.8271
33511004,2.2962,3784.1797,8689.3906
33511042,2.2435,3754.8828,8423.9082
33511080,2.2698,3798.8281,8622.7617
33511118,2.2171,3789.0625,8400.5820
33511157,2.2435,3769.5313,8456.7715
33511196,2.2962,3779.2969,8678.1787
33511234,2.2962,3759.7656,8633.3301
33511273,2.3490,3784.1797,8889.1475
33511311,2.4018,3779.2969,9077.1748
33511350,2.2962,3754.8828,8622.1182
33511388,2.4018,3793.9453,9112.3584
33511427,2.2435,3754.8828,8423.9082
33511465,2.3490,3779.2969,8877.6777
33511503,2.2962,3798.8281,8723.0273
33511542,2.3226,3754.8828,8721.2227
33511580,2.2698,3793.9453,8611.6787
33511619,2.4018,3759.7656,9030.2646
33511658,2.3226,3769.5313,8755.2461
33511696,2.3226,3793.9453,8811.9512
33511735,2.2962,3764.6484,8644.5420
33511773,2.2435,3779.2969,8478.6807
33511812,2.2962,3784.1797,8689.3906
33511849,2.2698,3759.7656,8534.0957
33511888,2.2171,3798.8281,8422.2334
33511927,2.2435,3764.6484,8445.8174
33511965,2.2171,3784.1797,8389.7568
33512004,2.2698,3798.8281,8622.7617
33512042,2.3490,3759.7656,8831.7979
33512081,2.3226,3803.7109,8834.6328
33512119,2.2435,3769.5313,8456.7715
33512158,2.2698,3784.1797,8589.5117
33512197,2.2962,3784.1797,8689.3906
33512235,2.4018,3754.8828,9018.5371
33512273,2.3490,3784.1797,8889.1475
33512311,2.4282,3764.6484,9141.3555
33512350,2.3754,3774.4141,8965.8271
33512389,2.3490,3779.2969,8877.6777
33512427,2.2962,3754.8828,8622.1182
33512466,2.3754,3784.1797,8989.0244
33512504,2.3226,3774.4141,8766.5869
33512543,2.2962,3774.4141,8666.9658
33512581,2.2435,3789.0625,8500.5889
33512620,2.2962,3740.2344,8588.4814
33512658,2.2962,3779.2969,8678.1787
33512696,2.2435,3784.1797,8489.6348
33512735,2.2435,3769.5313,8456.7715
33512773,2.2698,3803.7109,8633.8447
33512812,2.2171,3764.6484,8346.4541
33512850,2.3754,3779.2969,8977.4258
33512889,2.2698,3793.9453,8611.6787
33512928,2.2698,3754.8828,8523.0127
33512966,2.3490,3784.1797,8889.1475
33513005,2.3226,3759.7656,8732.5635
33513042,2.3754,3784.1797,8989.0244
33513081,2.2435,3798.8281,8522.4980
33513119,2.2435,3764.6484,8445.8174
33513158,2.1643,3793.9453,8211.1357
33513197,2.3226,3774.4141,8766.5869
33513235,2.3226,3779.2969,8777.9277
33513274,2.2698,3779.2969,8578.4287
33513312,2.2435,3789.0625,8500.5889
33513351,2.2435,3779.2969,8478.6807
33513390,2.3490,3784.1797,8889.1475
33513427,2.4018,3764.6484,9041.9922
33513466,2.2962,3789.0625,8700.6025
33513504,2.4282,3754.8828,9117.6426
33513543,2.3490,3779.2969,8877.6777
33513581,2.3226,3784.1797,8789.2686
33513620,2.2171,3764.6484,8346.4541
33513659,2.2435,3813.4766,8555.3613
33513697,2.2698,3769.5313,8556.2627
33513736,2.3490,3789.0625,8900.6172
33513774,2.2698,3793.9453,8611.6787
33513812,2.2962,3764.6484,8644.5420
33513850,2.3226,3798.8281,8823.2920
33513889,2.2171,3774.4141,8368.1055
33513928,2.2171,3774.4141,8368.1055
33513966,2.3490,3803.7109,8935.0264
33514005,2.2171,3764.6484,8346.4541
33514043,2.2698,3803.7109,8633.8447
33514082,2.3226,3764.6484,8743.9053
33514121,2.3226,3784.1797,8789.2686
33514159,2.3490,3789.0625,8900.6172
33514198,2.2171,3754.8828,8324.8037
33514235,2.2435,3774.4141,8467.7256
33514274,2.3226,3754.8828,8721.2227
33514312,2.2962,3759.7656,8633.3301
33514351,2.2962,3798.8281,8723.0273
33514390,2.2698,3740.2344,8489.7627
