34393??b?r&?1,4067.3828,1395.5864
343948142,2.0323,3808.5938,7740.2271
343948181,2.0851,3833.0078,7992.1777
343948221,2.0851,3789.0625,7900.5479
343948261,2.1907,3823.2422,8375.4512
343948300,2.1643,3789.0625,8200.5684
343948340,2.1907,3837.8906,8407.5410
343948379,2.0851,3793.9453,7910.7290
343948419,2.1907,3691.4063,8086.6426
343948459,2.1643,3798.8281,8221.7041
343948497,2.1379,3818.3594,8163.1943
343948537,2.2435,3784.1797,8489.6348
343948576,2.2435,3779.2969,8478.6807
343948616,2.2171,3798.8281,8422.2334
343948656,2.1907,3813.4766,8354.0576
343948695,2.1643,3798.8281,8221.7041
343948735,2.1115,3818.3594,8062.4141
343948774,2.1907,3813.4766,8354.0576
343948814,2.0587,3798.8281,7820.6450
343948854,2.1115,3823.2422,8072.7241
343948893,2.0851,3798.8281,7920.9102
343948933,2.1379,3833.0078,8194.5107
343948972,2.1643,3808.5938,8242.8398
343949011,2.1115,3823.2422,8072.7241
343949051,2.1643,3784.1797,8190.0005
343949090,2.1643,3813.4766,8253.4072
343949130,2.3226,3779.2969,8777.9277
343949169,2.2962,3808.5938,8745.4512
343949209,2.3754,3754.8828,8919.4326
343949248,2.3490,3754.8828,8820.3281
343949288,2.3754,3764.6484,8942.6299
343949328,2.2962,3798.8281,8723.0273
343949367,2.3754,3759.7656,8931.0313
343949407,2.2435,3808.5938,8544.4063
343949446,2.1907,3754.8828,8225.6982
343949486,2.2435,3813.4766,8555.3613
343949526,2.2435,3779.2969,8478.6807
343949564,2.1907,3808.5938,8343.3613
343949604,2.2435,3764.6484,8445.8174
343949643,2.3490,3789.0625,8900.6172
343949683,2.2171,3754.8828,8324.8037
343949723,2.2435,3891.6016,8730.6309
343949762,2.1907,3769.5313,8257.7881
343949802,2.2435,3803.7109,8533.4521
343949841,2.2171,3784.1797,8389.7568
343949881,2.2962,3793.9453,8711.8145
343949921,2.2435,3754.8828,8423.9082
343949960,2.3754,3774.4141,8965.8271
343950000,2.3490,3750.0000,8808.8584
343950039,2.3490,3774.4141,8866.2070
343950078,2.2698,3774.4141,8567.3457
343950118,2.2698,3813.4766,8656.0117
343950157,2.2698,3759.7656,8534.0957
343950197,2.3226,3813.4766,8857.3145
343950236,2.1379,3769.5313,8058.8057
343950276,2.1379,3828.1250,8184.0723
343950316,2.2962,3779.2969,8678.1787
343950355,2.1907,3818.3594,8364.7549
343950395,2.2698,3784.1797,8589.5117
343950434,2.1643,3808.5938,8242.8398
343950474,2.2698,3759.7656,8534.0957
343950513,2.2435,3779.2969,8478.6807
343950553,2.2435,3759.7656,8434.8633
343950593,2.3226,3784.1797,8789.2686
343950631,2.3754,3759.7656,8931.0313
343950671,2.2435,3808.5938,8544.4063
343950710,2.3226,3769.5313,8755.2461
343950750,2.2435,3803.7109,8533.4521
343950790,2.3226,3769.5313,8755.2461
343950829,2.3754,3769.5313,8954.2285
343950869,2.4018,3759.7656,9030.2646
343950908,2.3490,3779.2969,8877.6777
343950948,2.5338,3764.6484,9538.8047
343950988,2.2962,3779.2969,8678.1787
343951027,2.4282,3754.8828,9117.6426
343951067,2.5338,3764.6484,9538.8047
343951106,2.4282,3735.3516,9070.2168
343951145,2.3754,3784.1797,8989.0244
343951185,2.2698,3764.6484,8545.1797
343951224,2.3754,3803.7109,9035.4199
343951264,2.1907,3769.5313,8257.7881
343951303,2.2962,3818.3594,8767.8750
343951343,2.3226,3764.6484,8743.9053
343951383,2.3490,3784.1797,8889.1475
343951422,2.2435,3750.0000,8412.9541
343951462,2.3754,3789.0625,9000.6230
343951501,2.3490,3759.7656,8831.7979
343951541,2.3226,3784.1797,8789.2686
343951581,2.4018,3759.7656,9030.2646
343951620,2.3754,3784.1797,8989.0244
343951660,2.3490,3769.5313,8854.7373
343951698,2.3754,3784.1797,8989.0244
343951738,2.4018,3759.7656,9030.2646
343951777,2.5074,3754.8828,9414.9570
343951817,2.4018,3759.7656,9030.2646
343951857,2.3754,3769.5313,8954.2285
343951896,2.3754,3764.6484,8942.6299
343951936,2.3754,3784.1797,8989.0244
343951975,2.2698,3647.4609,8279.1816
343952015,2.2435,3798.8281,8522.4980
343952055,2.2171,3774.4141,8368.1055
343952094,2.3490,3793.9453,8912.0869
343952134,2.2698,3769.5313,8556.2627
343952173,2.4018,3793.9453,9112.3584
343952212,2.2171,3784.1797,8389.7568
343952252,2.2171,3793.9453,8411.4072
343952291,2.2962,3764.6484,8644.5420
343952331,2.3754,3798.8281,9023.8213
343952370,2.3226,3769.5313,8755.2461
343952410,2.3490,3769.5313,8854.7373
343952450,2.4018,3774.4141,9065.4473
343952489,2.3754,3769.5313,8954.2285
343952529,2.4282,3784.1797,9188.7813
343952568,2.3226,3769.5313,8755.2461
343952608,2.4018,3769.5313,9053.7197
343952648,2.3490,3764.6484,8843.2676
343952687,2.2962,3774.4141,8666.9658
343952727,2.1907,3784.1797,8289.8779
343952765,2.3754,3769.5313,8954.2285
343952805,2.4810,3764.6484,9340.0801
343952845,2.4282,3759.7656,9129.4990
343952884,2.2962,3759.7656,8633.3301
343952924,2.2698,3779.2969,8578.4287
343952963,2.2962,3764.6484,8644.5420
343953003,2.2698,3784.1797,8589.5117
343953042,2.4018,3701.1719,8889.5332
343953082,2.4018,3784.1797,9088.9033
343953122,2.2171,3774.4141,8368.1055
343953161,2.3754,3789.0625,9000.6230
343953201,2.1643,3789.0625,8200.5684
343953240,2.2171,3784.1797,8389.7568
343953280,2.4282,3769.5313,9153.2119
343953319,2.4018,3784.1797,9088.9033
343953358,2.3226,3779.2969,8777.9277
343953398,2.2962,3779.2969,8678.1787
343953437,2.3226,3769.5313,8755.2461
343953477,2.3490,3784.1797,8889.1475
343953517,2.4810,3740.2344,9279.5088
343953556,2.4546,3754.8828,9216.7461
343953596,2.4810,3730.4688,9255.2803
343953635,2.4018,3764.6484,9041.9922
343953675,2.3490,3774.4141,8866.2070
343953715,2.2962,3784.1797,8689.3906
343953754,2.4282,3852.5391,9354.7725
343953794,2.2698,3784.1797,8589.5117
343953832,2.3226,3769.5313,8755.2461
343953872,2.3226,3789.0625,8800.6094
343953912,2.1907,3774.4141,8268.4854
343953951,2.3754,3793.9453,9012.2217
343953991,2.2171,3764.6484,8346.4541
343954030,2.2435,3798.8281,8522.4980
343954070,2.1907,3764.6484,8247.0918
343954110,2.2962,3789.0625,8700.6025
343954149,2.2698,3764.6484,8545.1797
343954189,2.2171,3808.5938,8443.8838
343954228,2.2962,3759.7656,8633.3301
343954268,2.3754,3779.2969,8977.4258
343954307,2.4810,3774.4141,9364.3086
343954347,2.3754,3774.4141,8965.8271
343954386,2.3490,3750.0000,8808.8584
343954425,2.3754,3789.0625,9000.6230
343954465,2.3754,3754.8828,8919.4326
343954504,2.4018,3769.5313,9053.7197
343954544,2.5602,3745.1172,9588.1641
343954584,2.4546,3759.7656,9228.7314
343954623,2.2962,3750.0000,8610.9053
343954663,2.2698,3808.5938,8644.9287
343954702,2.3754,3759.7656,8931.0313
343954742,2.2962,3793.9453,8711.8145
343954782,2.3490,3759.7656,8831.7979
343954821,2.2962,3618.1641,8308.1787
343954861,2.2962,3769.5313,8655.7539
343954899,2.2698,3789.0625,8600.5957
343954939,2.3226,3754.8828,8721.2227
343954979,2.4018,3774.4141,9065.4473
343955018,2.5602,3730.4688,9550.6611
343955058,2.5338,3750.0000,9501.6885
343955097,2.5074,3735.3516,9365.9844
343955137,2.4282,3769.5313,9153.2119
343955177,2.4018,3730.4688,8959.8994
343955216,2.4018,3774.4141,9065.4473
343955256,2.2435,3779.2969,8478.6807
343955295,2.1907,3813.4766,8354.0576
343955335,2.1907,3779.2969,8279.1816
343955375,2.1643,3808.5938,8242.8398
343955414,2.1379,3779.2969,8079.6836
343955453,2.2962,3798.8281,8723.0273
343955492,2.3226,3759.7656,8732.5635
343955532,2.3226,3759.7656,8732.5635
343955571,2.4810,3779.2969,9376.4229
343955611,2.2962,3793.9453,8711.8145
343955651,2.4282,3754.8828,9117.6426
343955690,2.4546,3764.6484,9240.7168
343955730,2.5074,3740.2344,9378.2275
343955769,2.4018,3769.5313,9053.7197
343955809,2.3754,3750.0000,8907.8330
343955849,2.4282,3779.2969,9176.9248
343955888,2.2962,3764.6484,8644.5420
343955928,2.3226,3774.4141,8766.5869
343955966,2.3754,3754.8828,8919.4326
343956006,2.4282,3764.6484,9141.3555
343956046,2.2698,3769.5313,8556.2627
343956085,2.3226,3789.0625,8800.6094
343956125,2.2962,3779.2969,8678.1787
