,4062.5000,750.5675
84659235,2.3226,3828.1250,8891.3379
84659273,2.2435,3813.4766,8555.3613
84659312,2.1115,3842.7734,8113.9639
84659350,2.1115,3808.5938,8041.7939
84659389,2.1115,3833.0078,8093.3442
84659428,2.1907,3818.3594,8364.7549
84659466,2.1115,3813.4766,8052.1040
84659505,2.2698,3828.1250,8689.2617
84659543,2.1907,3789.0625,8300.5752
84659581,2.2962,3833.0078,8801.5117
84659619,2.3490,3779.2969,8877.6777
84659658,2.2698,3818.3594,8667.0947
84659697,2.1907,3803.7109,8332.6650
84659735,2.2171,3808.5938,8443.8838
84659774,2.2171,3833.0078,8498.0117
84659812,2.2698,3798.8281,8622.7617
84659851,2.1643,3823.2422,8274.5430
84659890,2.2435,3789.0625,8500.5889
84659928,2.2435,3823.2422,8577.2695
84659966,2.2698,3793.9453,8611.6787
84660004,2.1907,3833.0078,8396.8447
84660043,2.2171,3813.4766,8454.7090
84660081,2.2962,3818.3594,8767.8750
84660120,2.1643,3837.8906,8306.2461
84660159,2.1907,3803.7109,8332.6650
84660197,2.2171,3823.2422,8476.3604
84660236,2.3754,3784.1797,8989.0244
84660274,2.2435,3818.3594,8566.3154
84660313,2.2698,3803.7109,8633.8447
84660350,2.2698,3798.8281,8622.7617
84660389,2.2698,3808.5938,8644.9287
84660428,2.1907,3789.0625,8300.5752
84660466,2.3490,3818.3594,8969.4365
84660505,2.3490,3779.2969,8877.6777
84660543,2.2698,3818.3594,8667.0947
84660582,2.2435,3813.4766,8555.3613
84660621,2.2698,3803.7109,8633.8447
84660659,2.2435,3828.1250,8588.2236
84660698,2.2171,3798.8281,8422.2334
84660736,2.1643,3837.8906,8306.2461
84660774,2.1379,3813.4766,8152.7554
84660812,2.1643,3833.0078,8295.6777
84660851,2.1379,3823.2422,8173.6333
84660890,2.1907,3818.3594,8364.7549
84660928,2.1643,3818.3594,8263.9746
84660967,2.2435,3803.7109,8533.4521
84661005,2.2962,3823.2422,8779.0879
84661044,2.3490,3769.5313,8854.7373
84661082,2.3226,3803.7109,8834.6328
84661121,2.3226,3798.8281,8823.2920
84661159,2.3754,3784.1797,8989.0244
84661197,2.4546,3813.4766,9360.5713
84661236,2.2962,3779.2969,8678.1787
84661274,2.2962,3823.2422,8779.0879
84661313,2.2962,3779.2969,8678.1787
84661351,2.2962,3813.4766,8756.6631
84661390,2.2698,3803.7109,8633.8447
84661429,2.3754,3803.7109,9035.4199
84661467,2.3490,3833.0078,9003.8457
84661506,2.1907,3803.7109,8332.6650
84661543,2.2171,3789.0625,8400.5820
84661582,2.1907,3784.1797,8289.8779
84661621,2.2962,3823.2422,8779.0879
84661659,2.1379,3808.5938,8142.3169
84661698,2.3226,3818.3594,8868.6563
84661736,2.2435,3818.3594,8566.3154
84661775,2.2435,3779.2969,8478.6807
84661813,2.3226,3823.2422,8879.9971
84661852,2.4282,3779.2969,9176.9248
84661891,2.2698,3808.5938,8644.9287
84661928,2.3754,3779.2969,8977.4258
84661967,2.3490,3798.8281,8923.5566
84662005,2.2698,3798.8281,8622.7617
84662044,2.2962,3784.1797,8689.3906
84662082,2.3226,3818.3594,8868.6563
84662121,2.2435,3793.9453,8511.5439
84662160,2.2435,3837.8906,8610.1328
84662198,2.1643,3803.7109,8232.2715
84662237,2.2962,3823.2422,8779.0879
84662275,2.2435,3808.5938,8544.4063
84662313,2.2435,3798.8281,8522.4980
84662352,2.3754,3833.0078,9105.0117
84662390,2.2171,3798.8281,8422.2334
84662429,2.3754,3813.4766,9058.6172
84662467,2.2962,3779.2969,8678.1787
84662506,2.2698,3813.4766,8656.0117
84662544,2.2698,3793.9453,8611.6787
84662583,2.2698,3798.8281,8622.7617
84662622,2.3490,3813.4766,8957.9668
84662660,2.3226,3793.9453,8811.9512
84662699,2.3490,3823.2422,8980.9063
84662736,2.2435,3774.4141,8467.7256
84662775,2.3226,3818.3594,8868.6563
84662813,2.3490,3789.0625,8900.6172
84662852,2.4282,3808.5938,9248.0635
84662891,2.3226,3803.7109,8834.6328
84662929,2.3754,3803.7109,9035.4199
84662968,2.2171,3828.1250,8487.1855
84663006,2.1907,3784.1797,8289.8779
84663045,2.1643,3828.1250,8285.1104
84663084,2.2171,3789.0625,8400.5820
84663121,2.2435,3798.8281,8522.4980
84663160,2.2171,3803.7109,8433.0586
84663198,2.2435,3808.5938,8544.4063
84663237,2.2435,3803.7109,8533.4521
84663275,2.2962,3789.0625,8700.6025
84663314,2.3490,3808.5938,8946.4961
84663353,2.2435,3784.1797,8489.6348
84663391,2.2698,3818.3594,8667.0947
84663430,2.2435,3803.7109,8533.4521
84663468,2.2435,3818.3594,8566.3154
84663506,2.1115,3808.5938,8041.7939
84663544,2.1643,3798.8281,8221.7041
84663583,2.2962,3823.2422,8779.0879
84663622,2.2171,3789.0625,8400.5820
84663660,2.3754,3823.2422,9081.8145
84663699,2.2698,3769.5313,8556.2627
84663737,2.4018,3808.5938,9147.5410
84663776,2.2962,3779.2969,8678.1787
84663814,2.3226,3803.7109,8834.6328
84663853,2.3226,3808.5938,8845.9736
84663891,2.2962,3779.2969,8678.1787
84663929,2.2435,3803.7109,8533.4521
84663968,2.1643,3793.9453,8211.1357
84664006,2.2698,3808.5938,8644.9287
84664045,2.1643,3818.3594,8263.9746
84664084,2.2435,3808.5938,8544.4063
84664122,2.1643,3813.4766,8253.4072
84664161,2.2171,3798.8281,8422.2334
84664199,2.1907,3813.4766,8354.0576
84664238,2.3226,3793.9453,8811.9512
84664275,2.2962,3818.3594,8767.8750
84664314,2.2698,3813.4766,8656.0117
84664353,2.2171,3798.8281,8422.2334
84664391,2.2435,3808.5938,8544.4063
84664430,2.2171,3793.9453,8411.4072
84664468,2.2435,3818.3594,8566.3154
84664507,2.3226,3793.9453,8811.9512
84664545,2.2435,3813.4766,8555.3613
84664584,2.3226,3798.8281,8823.2920
84664623,2.3226,3784.1797,8789.2686
84664660,2.3226,3818.3594,8868.6563
84664699,2.2962,3779.2969,8678.1787
84664737,2.2962,3813.4766,8756.6631
84664776,2.2698,3779.2969,8578.4287
84664815,2.4018,3793.9453,9112.3584
84664853,2.2962,3808.5938,8745.4512
84664892,2.3226,3779.2969,8777.9277
84664930,2.3226,3818.3594,8868.6563
84664969,2.2171,3789.0625,8400.5820
84665007,2.1643,3808.5938,8242.8398
84665046,2.2171,3813.4766,8454.7090
84665084,2.2171,3808.5938,8443.8838
84665122,2.1907,3833.0078,8396.8447
84665161,2.1379,3789.0625,8100.5610
84665199,2.2171,3818.3594,8465.5352
84665238,2.2435,3779.2969,8478.6807
84665276,2.1907,3813.4766,8354.0576
84665315,2.3226,3808.5938,8845.9736
84665354,2.2698,3789.0625,8600.5957
84665392,2.2962,3818.3594,8767.8750
84665431,2.3226,3779.2969,8777.9277
84665468,2.2698,3808.5938,8644.9287
84665507,2.4282,3789.0625,9200.6377
84665546,2.3490,3789.0625,8900.6172
84665584,2.2171,3808.5938,8443.8838
84665623,2.2698,3798.8281,8622.7617
84665661,2.2698,3803.7109,8633.8447
84665700,2.1907,3793.9453,8311.2715
84665738,2.2962,3808.5938,8745.4512
84665777,2.2435,3808.5938,8544.4063
84665816,2.2698,3798.8281,8622.7617
84665853,2.1907,3808.5938,8343.3613
84665892,2.2962,3764.6484,8644.5420
84665930,2.3754,3808.5938,9047.0186
84665969,2.3754,3798.8281,9023.8213
84666007,2.2171,3798.8281,8422.2334
84666046,2.1379,3813.4766,8152.7554
84666085,2.2698,3789.0625,8600.5957
84666123,2.1907,3823.2422,8375.4512
84666162,2.1907,3779.2969,8279.1816
84666200,2.2962,3803.7109,8734.2393
84666238,2.2698,3803.7109,8633.8447
84666276,2.4018,3793.9453,9112.3584
84666315,2.3490,3818.3594,8969.4365
84666354,2.2435,3774.4141,8467.7256
84666392,2.2171,3813.4766,8454.7090
84666431,2.2962,3784.1797,8689.3906
84666469,2.3754,3808.5938,9047.0186
84666508,2.2435,3808.5938,8544.4063
84666547,2.2435,3793.9453,8511.5439
84666585,2.1643,3828.1250,8285.1104
84666624,2.1379,3789.0625,8100.5610
84666661,2.1907,3813.4766,8354.0576
84666700,2.2171,3789.0625,8400.5820
84666738,2.2171,3808.5938,8443.8838
84666777,2.2435,3803.7109,8533.4521
84666816,2.2435,3789.0625,8500.5889
84666854,2.2435,3813.4766,8555.3613
84666893,2.4546,3764.6484,9240.7168
84666931,2.4282,3789.0625,9200.6377
84666970,2.3490,3779.2969,8877.6777
84667008,2.4546,3769.5313,9252.7021
84667046,2.2698,3813.4766,8656.0117
84667085,2.2698,3779.2969,8578.4287
84667123,2.2435,3818.3594,8566.3154
84667162,2.2435,3789.0625,8500.5889
84667200,2.1643,3813.4766,8253.4072
