
101784??	r?84,4003.9063,739.7420
101802018,2.2698,3725.5859,8456.5137
101802057,2.2698,3750.0000,8511.9297
101802097,2.2962,3769.5313,8655.7539
101802136,2.2435,3759.7656,8434.8633
101802176,2.2435,3715.8203,8336.2734
101802215,2.2435,3745.1172,8402.0000
101802255,2.2435,3759.7656,8434.8633
101802295,2.4018,3754.8828,9018.5371
101802334,2.2171,3745.1172,8303.1523
101802374,2.1379,3745.1172,8006.6113
101802413,2.2435,3764.6484,8445.8174
101802452,2.1379,3754.8828,8027.4893
101802492,2.2171,3750.0000,8313.9775
101802531,2.2435,3745.1172,8402.0000
101802571,2.2171,3754.8828,8324.8037
101802610,2.1907,3769.5313,8257.7881
101802650,2.3226,3745.1172,8698.5410
101802690,2.2698,3730.4688,8467.5967
101802729,2.3226,3759.7656,8732.5635
101802769,2.2962,3769.5313,8655.7539
101802808,2.2435,3730.4688,8369.1367
101802848,2.1907,3740.2344,8193.6084
101802888,2.1907,3769.5313,8257.7881
101802927,2.1115,3789.0625,8000.5542
101802967,2.0851,3740.2344,7798.7368
101803005,2.1907,3745.1172,8204.3057
101803045,2.1115,3759.7656,7938.6943
101803085,2.2698,3759.7656,8534.0957
101803124,2.2435,3740.2344,8391.0459
101803164,2.3226,3740.2344,8687.2002
101803203,2.3226,3759.7656,8732.5635
101803243,2.3226,3764.6484,8743.9053
101803283,2.2435,3750.0000,8412.9541
101803322,2.2171,3715.8203,8238.1992
101803362,2.2171,3745.1172,8303.1523
101803401,2.1643,3759.7656,8137.1621
101803441,2.1907,3779.2969,8279.1816
101803480,2.1115,3750.0000,7918.0742
101803520,2.1115,3759.7656,7938.6943
101803559,2.1643,3784.1797,8190.0005
101803598,2.1115,3764.6484,7949.0039
101803638,2.1643,3730.4688,8073.7554
101803677,2.2698,3750.0000,8511.9297
101803717,2.2698,3754.8828,8523.0127
101803757,2.2962,3759.7656,8633.3301
101803796,2.3754,3715.8203,8826.6426
101803836,2.2435,3725.5859,8358.1826
101803875,2.3226,3754.8828,8721.2227
101803915,2.3226,3759.7656,8732.5635
101803955,2.2171,3750.0000,8313.9775
101803994,2.1379,3735.3516,7985.7339
101804034,2.1643,3754.8828,8126.5942
101804072,2.2698,3769.5313,8556.2627
101804112,2.2962,3759.7656,8633.3301
101804152,2.2171,3715.8203,8238.1992
101804191,2.2962,3759.7656,8633.3301
101804231,2.2698,3764.6484,8545.1797
101804270,2.2962,3754.8828,8622.1182
101804310,2.1907,3730.4688,8172.2153
101804350,2.2435,3730.4688,8369.1367
101804389,2.1907,3759.7656,8236.3955
101804429,2.1907,3769.5313,8257.7881
101804468,2.2171,3740.2344,8292.3271
101804508,2.2435,3735.3516,8380.0908
101804548,2.3226,3759.7656,8732.5635
101804587,2.2171,3774.4141,8368.1055
101804626,2.1907,3754.8828,8225.6982
101804665,2.2435,3735.3516,8380.0908
101804705,2.2962,3754.8828,8622.1182
101804744,2.2171,3754.8828,8324.8037
101804784,2.2698,3754.8828,8523.0127
101804824,2.2435,3740.2344,8391.0459
101804863,2.1643,3754.8828,8126.5942
101804903,2.2962,3759.7656,8633.3301
101804942,2.2698,3745.1172,8500.8467
101804982,2.1907,3730.4688,8172.2153
101805022,2.1907,3740.2344,8193.6084
101805061,2.1907,3750.0000,8215.0020
101805101,2.1907,3764.6484,8247.0918
101805139,2.2962,3735.3516,8577.2695
101805179,2.2171,3750.0000,8313.9775
101805219,2.1907,3754.8828,8225.6982
101805258,2.0587,3779.2969,7780.4360
101805298,2.1907,3754.8828,8225.6982
101805337,2.1115,3740.2344,7897.4541
101805377,2.1907,3764.6484,8247.0918
101805417,2.1907,3769.5313,8257.7881
101805456,2.3226,3735.3516,8675.8594
101805496,2.2962,3720.7031,8543.6328
101805535,2.3754,3730.4688,8861.4385
101805575,2.3754,3764.6484,8942.6299
101805615,2.2698,3745.1172,8500.8467
101805654,2.3226,3725.5859,8653.1768
101805693,2.2435,3740.2344,8391.0459
101805732,2.2171,3764.6484,8346.4541
101805772,2.1907,3754.8828,8225.6982
101805812,2.2435,3735.3516,8380.0908
101805851,2.1115,3750.0000,7918.0742
101805891,2.2435,3774.4141,8467.7256
101805930,2.3226,3769.5313,8755.2461
101805970,2.2435,3730.4688,8369.1367
101806009,2.2435,3750.0000,8412.9541
101806049,2.4018,3764.6484,9041.9922
101806089,2.2962,3750.0000,8610.9053
101806128,2.2698,3730.4688,8467.5967
101806168,2.2435,3735.3516,8380.0908
101806206,2.2171,3759.7656,8335.6289
101806246,2.2698,3754.8828,8523.0127
101806286,2.2962,3735.3516,8577.2695
101806325,2.2962,3725.5859,8554.8447
101806365,2.2698,3745.1172,8500.8467
101806404,2.2435,3759.7656,8434.8633
101806444,2.1379,3745.1172,8006.6113
101806484,2.2435,3725.5859,8358.1826
101806523,2.1379,3774.4141,8069.2446
101806563,2.1643,3779.2969,8179.4331
101806602,2.2171,3759.7656,8335.6289
101806642,2.0851,3730.4688,7778.3745
101806682,2.1643,3774.4141,8168.8652
101806721,2.1643,3779.2969,8179.4331
101806760,2.1643,3740.2344,8094.8911
101806799,2.1907,3730.4688,8172.2153
101806839,2.2698,3750.0000,8511.9297
101806879,2.2171,3769.5313,8357.2803
101806918,2.2962,3740.2344,8588.4814
101806958,2.2962,3740.2344,8588.4814
101806997,2.2435,3759.7656,8434.8633
101807037,2.2171,3759.7656,8335.6289
101807077,2.3490,3735.3516,8774.4482
101807116,2.2698,3745.1172,8500.8467
