0.1848,4111.3281,759.5887
100296435,2.2435,3823.2422,8577.2695
100296474,2.3490,3842.7734,9026.7852
100296514,2.3490,3818.3594,8969.4365
100296553,2.2698,3828.1250,8689.2617
100296593,2.3490,3828.1250,8992.3760
100296633,2.2698,3828.1250,8689.2617
100296672,2.2962,3852.5391,8846.3604
100296712,2.2962,3842.7734,8823.9355
100296751,2.2435,3828.1250,8588.2236
100296791,2.1643,3837.8906,8306.2461
100296830,2.2435,3823.2422,8577.2695
100296869,2.1115,3833.0078,8093.3442
100296909,2.1643,3813.4766,8253.4072
100296948,2.1907,3818.3594,8364.7549
100296988,2.1643,3798.8281,8221.7041
100297027,2.1643,3823.2422,8274.5430
100297067,2.1379,3823.2422,8173.6333
100297107,2.1907,3833.0078,8396.8447
100297146,2.2171,3828.1250,8487.1855
100297186,2.1907,3837.8906,8407.5410
100297225,2.1643,3837.8906,8306.2461
100297265,2.2435,3842.7734,8621.0869
100297305,2.1379,3847.6563,8225.8281
