969,0.2?????L?969,863.9774
288215209,2.1643,3779.2969,8179.4331
288215248,2.2171,3798.8281,8422.2334
288215288,2.1907,3745.1172,8204.3057
288215327,2.1643,3784.1797,8190.0005
288215367,2.2171,3774.4141,8368.1055
288215407,2.2962,3789.0625,8700.6025
288215446,2.3226,3798.8281,8823.2920
288215486,2.2171,3784.1797,8389.7568
288215525,2.2698,3784.1797,8589.5117
288215565,2.2171,3774.4141,8368.1055
288215605,2.2171,3808.5938,8443.8838
288215644,2.1907,3784.1797,8289.8779
288215684,2.1379,3803.7109,8131.8779
288215723,2.1379,3789.0625,8100.5610
288215762,2.2171,3828.1250,8487.1855
288215802,2.2171,3798.8281,8422.2334
288215841,2.1907,3793.9453,8311.2715
288215881,2.2698,3789.0625,8600.5957
288215920,2.2698,3784.1797,8589.5117
288215960,2.3490,3808.5938,8946.4961
288216000,2.2435,3784.1797,8489.6348
288216039,2.2171,3798.8281,8422.2334
288216079,2.2171,3774.4141,8368.1055
288216118,2.2435,3803.7109,8533.4521
288216158,2.2171,3789.0625,8400.5820
288216198,2.2435,3793.9453,8511.5439
288216237,2.2171,3789.0625,8400.5820
288216276,2.1643,3833.0078,8295.6777
288216315,2.2171,3808.5938,8443.8838
288216355,2.2435,3774.4141,8467.7256
288216394,2.2962,3808.5938,8745.4512
288216434,2.3226,3784.1797,8789.2686
288216474,2.2698,3813.4766,8656.0117
288216513,2.2171,3789.0625,8400.5820
288216553,2.1907,3803.7109,8332.6650
288216592,2.1643,3803.7109,8232.2715
288216632,2.1115,3818.3594,8062.4141
288216672,2.1907,3789.0625,8300.5752
288216711,2.2171,3793.9453,8411.4072
288216751,2.2435,3789.0625,8500.5889
288216790,2.2171,3803.7109,8433.0586
288216829,2.1379,3818.3594,8163.1943
288216869,2.2171,3789.0625,8400.5820
288216908,2.2698,3803.7109,8633.8447
288216948,2.2698,3779.2969,8578.4287
288216987,2.2698,3793.9453,8611.6787
288217027,2.3754,3759.7656,8931.0313
288217067,2.2698,3793.9453,8611.6787
288217106,2.2962,3779.2969,8678.1787
288217146,2.2171,3803.7109,8433.0586
288217185,2.3490,3789.0625,8900.6172
288217225,2.1907,3789.0625,8300.5752
288217265,2.2171,3813.4766,8454.7090
288217304,2.2435,3793.9453,8511.5439
288217344,2.1643,3798.8281,8221.7041
288217382,2.1907,3793.9453,8311.2715
288217422,2.3490,3813.4766,8957.9668
288217462,2.1643,3798.8281,8221.7041
288217501,2.1643,3818.3594,8263.9746
288217541,2.2698,3793.9453,8611.6787
288217580,2.2171,3793.9453,8411.4072
288217620,2.2171,3774.4141,8368.1055
288217659,2.1643,3813.4766,8253.4072
288217699,2.3226,3798.8281,8823.2920
288217739,2.2171,3793.9453,8411.4072
288217778,2.1907,3798.8281,8321.9678
288217818,2.1643,3789.0625,8200.5684
288217857,2.1643,3813.4766,8253.4072
288217896,2.2962,3774.4141,8666.9658
288217936,2.1907,3803.7109,8332.6650
288217975,2.2171,3779.2969,8378.9307
288218015,2.2171,3793.9453,8411.4072
288218054,2.2435,3774.4141,8467.7256
288218094,2.2171,3808.5938,8443.8838
288218134,2.1907,3852.5391,8439.6309
288218173,2.2171,3813.4766,8454.7090
288218213,2.1643,3793.9453,8211.1357
288218252,2.2171,3808.5938,8443.8838
288218292,2.1643,3793.9453,8211.1357
288218332,2.2171,3793.9453,8411.4072
288218371,2.3226,3813.4766,8857.3145
288218411,2.2698,3769.5313,8556.2627
288218449,2.1643,3808.5938,8242.8398
288218489,2.1643,3789.0625,8200.5684
288218529,2.1907,3818.3594,8364.7549
288218568,2.1907,3793.9453,8311.2715
288218608,2.2435,3823.2422,8577.2695
288218647,2.3226,3764.6484,8743.9053
288218687,2.1643,3813.4766,8253.4072
288218727,2.1115,3808.5938,8041.7939
288218766,2.1379,3803.7109,8131.8779
288218806,2.1379,3793.9453,8111.0000
288218845,2.1907,3779.2969,8279.1816
288218885,2.1115,3798.8281,8021.1738
288218924,2.2435,3813.4766,8555.3613
288218963,2.2171,3789.0625,8400.5820
288219003,2.2698,3798.8281,8622.7617
288219042,2.1643,3813.4766,8253.4072
288219082,2.2171,3789.0625,8400.5820
288219121,2.2698,3803.7109,8633.8447
288219161,2.2698,3774.4141,8567.3457
288219201,2.2962,3823.2422,8779.0879
288219240,2.1379,3935.5469,8413.7275
288219280,2.1643,3813.4766,8253.4072
288219319,2.1379,3784.1797,8090.1226
288219359,2.1115,3808.5938,8041.7939
288219399,2.1379,3793.9453,8111.0000
288219438,2.1115,3813.4766,8052.1040
288219478,2.0851,3793.9453,7910.7290
288219516,2.1643,3803.7109,8232.2715
288219556,2.0587,3798.8281,7820.6450
288219596,2.1907,3798.8281,8321.9678
288219635,2.2171,3798.8281,8422.2334
288219675,2.3226,3769.5313,8755.2461
288219714,2.3490,3784.1797,8889.1475
288219754,2.2435,3779.2969,8478.6807
288219794,2.1379,3808.5938,8142.3169
288219833,2.2171,3774.4141,8368.1055
288219873,2.0851,3818.3594,7961.6343
288219912,2.1643,3789.0625,8200.5684
288219952,2.2698,3803.7109,8633.8447
288219992,2.1907,3793.9453,8311.2715
288220030,2.2435,3803.7109,8533.4521
288220070,2.1379,3789.0625,8100.5610
288220109,2.0323,3828.1250,7779.9204
288220149,2.1115,3808.5938,8041.7939
288220188,2.0587,3818.3594,7860.8540
288220228,1.9531,3828.1250,7476.8066
288220268,2.0059,3813.4766,7649.4985
288220307,2.0059,3676.7578,7375.2529
288220347,2.2435,3793.9453,8511.5439
288220386,2.1907,3813.4766,8354.0576
288220426,2.1115,3789.0625,8000.5542
288220466,2.1379,3798.8281,8121.4390
288220505,2.1643,3745.1172,8105.4590
288220545,2.2171,3803.7109,8433.0586
288220583,2.2698,3769.5313,8556.2627
288220623,2.2698,3803.7109,8633.8447
288220663,2.0851,3784.1797,7890.3667
288220702,2.1379,3793.9453,8111.0000
288220742,2.3226,3784.1797,8789.2686
288220781,2.1379,3798.8281,8121.4390
288220821,2.1643,3842.7734,8316.8135
288220861,2.0851,3803.7109,7931.0913
288220900,2.0059,3818.3594,7659.2930
288220940,2.0851,3813.4766,7951.4531
288220979,2.0323,3833.0078,7789.8438
288221019,2.0851,3774.4141,7870.0044
288221059,2.0851,3818.3594,7961.6343
288221097,2.0323,3715.8203,7551.6831
288221137,2.2698,3818.3594,8667.0947
288221176,2.1379,3784.1797,8090.1226
288221216,2.1907,3808.5938,8343.3613
288221256,2.2962,3779.2969,8678.1787
288221295,2.3490,3789.0625,8900.6172
288221335,2.2698,3779.2969,8578.4287
288221374,2.2171,3798.8281,8422.2334
288221414,2.2962,3808.5938,8745.4512
288221453,2.2171,3784.1797,8389.7568
288221493,2.1379,3803.7109,8131.8779
288221533,2.0851,3798.8281,7920.9102
288221572,2.1907,3828.1250,8386.1475
288221612,2.1115,3867.1875,8165.5142
288221650,2.1907,3808.5938,8343.3613
288221690,2.2171,3789.0625,8400.5820
288221730,2.1379,3813.4766,8152.7554
