12164b?I??1,411.3281,868.1014
288133420,2.0851,3847.6563,8022.7212
288133458,2.0059,3818.3594,7659.2930
288133498,2.0587,3828.1250,7880.9585
288133538,2.1115,3842.7734,8113.9639
288133577,2.0851,3818.3594,7961.6343
288133617,2.1115,3837.8906,8103.6538
288133656,2.0851,3828.1250,7981.9966
288133696,2.1643,3847.6563,8327.3818
288133736,2.0851,3833.0078,7992.1777
288133775,2.1115,3828.1250,8083.0342
288133815,2.0851,3828.1250,7981.9966
288133854,2.1115,3813.4766,8052.1040
288133894,2.1643,3842.7734,8316.8135
288133934,2.1643,3803.7109,8232.2715
288133972,2.2435,3818.3594,8566.3154
288134012,2.2171,3823.2422,8476.3604
288134051,2.2171,3803.7109,8433.0586
288134091,2.1643,3837.8906,8306.2461
288134131,2.0851,3818.3594,7961.6343
288134170,2.1907,3837.8906,8407.5410
288134210,2.0851,3808.5938,7941.2725
288134249,2.1643,3833.0078,8295.6777
288134289,2.0851,3813.4766,7951.4531
288134329,2.0587,3852.5391,7931.2197
288134368,2.1115,3862.3047,8155.2041
288134408,2.0851,3798.8281,7920.9102
288134447,2.0587,3793.9453,7810.5928
288134487,1.9795,3813.4766,7548.8477
288134525,2.0851,3818.3594,7961.6343
288134565,2.0851,3833.0078,7992.1777
288134605,2.1907,3803.7109,8332.6650
288134644,2.2171,3852.5391,8541.3135
288134684,2.1379,3798.8281,8121.4390
288134723,2.1379,3823.2422,8173.6333
288134763,2.2698,3793.9453,8611.6787
288134803,2.3226,3803.7109,8834.6328
288134842,2.2962,3823.2422,8779.0879
288134882,2.1643,3798.8281,8221.7041
288134921,2.3226,3828.1250,8891.3379
288134961,2.1907,3798.8281,8321.9678
288135001,2.1907,3803.7109,8332.6650
288135040,2.1379,3818.3594,8163.1943
288135079,2.0323,3808.5938,7740.2271
288135118,2.0587,3847.6563,7921.1675
288135158,2.0323,3808.5938,7740.2271
288135198,2.0587,3842.7734,7911.1152
288135237,2.1643,3842.7734,8316.8135
288135277,2.0587,3818.3594,7860.8540
288135316,2.1379,3823.2422,8173.6333
288135356,2.1907,3808.5938,8343.3613
288135396,2.1907,3818.3594,8364.7549
288135435,2.2698,3784.1797,8589.5117
288135475,2.2435,3818.3594,8566.3154
288135514,2.2171,3789.0625,8400.5820
288135554,2.2962,3793.9453,8711.8145
288135593,2.3226,3784.1797,8789.2686
288135632,2.1907,3784.1797,8289.8779
288135672,2.3490,3823.2422,8980.9063
288135711,2.2171,3808.5938,8443.8838
288135751,2.2171,3828.1250,8487.1855
288135790,2.1115,3833.0078,8093.3442
288135830,2.1907,3823.2422,8375.4512
288135870,2.1907,3837.8906,8407.5410
288135909,2.1643,3808.5938,8242.8398
288135949,2.2698,3803.7109,8633.8447
288135988,2.2171,3906.2500,8660.3936
288136028,2.2435,3779.2969,8478.6807
288136068,2.2435,3823.2422,8577.2695
288136107,2.2435,3803.7109,8533.4521
288136146,2.2962,3828.1250,8790.2998
288136185,2.1907,3798.8281,8321.9678
288136225,2.2435,3818.3594,8566.3154
288136265,2.1907,3813.4766,8354.0576
288136304,2.2435,3779.2969,8478.6807
288136344,2.1907,3818.3594,8364.7549
288136383,2.3226,3798.8281,8823.2920
288136423,2.3754,3818.3594,9070.2158
288136463,2.3226,3789.0625,8800.6094
288136502,2.2435,3813.4766,8555.3613
288136542,2.2698,3813.4766,8656.0117
288136581,2.2435,3759.7656,8434.8633
288136621,2.2171,3818.3594,8465.5352
288136660,2.1643,3784.1797,8190.0005
288136699,2.2435,3818.3594,8566.3154
288136739,2.2962,3798.8281,8723.0273
288136778,2.2962,3798.8281,8723.0273
288136818,2.2435,3793.9453,8511.5439
288136858,2.3754,3813.4766,9058.6172
288136897,2.2171,3818.3594,8465.5352
288136937,2.2698,3798.8281,8622.7617
288136976,2.2171,3813.4766,8454.7090
288137016,2.2435,3798.8281,8522.4980
288137055,2.1115,3793.9453,8010.8643
288137095,2.2435,3828.1250,8588.2236
288137135,2.1643,3798.8281,8221.7041
288137174,2.1643,3823.2422,8274.5430
288137213,2.1907,3779.2969,8279.1816
288137252,2.2698,3803.7109,8633.8447
288137292,2.2435,3808.5938,8544.4063
288137332,2.2962,3818.3594,8767.8750
288137371,2.3226,3818.3594,8868.6563
288137411,2.2962,3798.8281,8723.0273
288137450,2.2171,3808.5938,8443.8838
288137490,2.2962,3774.4141,8666.9658
288137530,2.2962,3803.7109,8734.2393
288137569,2.2435,3779.2969,8478.6807
