,16,1282.0475
293078305,2.4810,3710.9375,9206.8232
293078345,2.4810,3750.0000,9303.7373
293078385,2.3754,3720.7031,8838.2412
293078424,2.3754,3774.4141,8965.8271
293078464,2.4018,3725.5859,8948.1719
293078503,2.4282,3750.0000,9105.7861
293078543,2.3754,3754.8828,8919.4326
293078583,2.4018,3706.0547,8901.2607
293078622,2.3754,3745.1172,8896.2344
293078662,2.4018,3735.3516,8971.6270
293078701,2.2435,3754.8828,8423.9082
293078740,2.3490,3745.1172,8797.3887
293078780,2.3754,3745.1172,8896.2344
293078819,2.4282,3715.8203,9022.7900
293078859,2.4810,3740.2344,9279.5088
293078898,2.4546,3701.1719,9084.9072
293078938,2.6130,3730.4688,9747.5830
293078978,2.5866,3696.2891,9560.7139
293079017,2.5074,3740.2344,9378.2275
293079057,2.3754,3754.8828,8919.4326
293079096,2.2698,3754.8828,8523.0127
293079136,2.3754,3720.7031,8838.2412
293079176,2.3754,3759.7656,8931.0313
293079215,2.3490,3740.2344,8785.9180
293079255,2.3226,3798.8281,8823.2920
293079293,2.2962,3725.5859,8554.8447
293079333,2.3226,3759.7656,8732.5635
293079373,2.3226,3764.6484,8743.9053
293079412,2.2435,3769.5313,8456.7715
293079452,2.2171,3774.4141,8368.1055
293079491,2.2435,3745.1172,8402.0000
293079531,2.3490,3720.7031,8740.0391
293079570,2.3490,3740.2344,8785.9180
293079610,2.3490,3745.1172,8797.3887
293079650,2.5338,3710.9375,9402.7129
293079689,2.5602,3725.5859,9538.1602
293079729,2.4546,3710.9375,9108.8779
293079768,2.4018,3745.1172,8995.0820
293079808,2.3490,3735.3516,8774.4482
293079847,2.4018,3754.8828,9018.5371
293079886,2.3226,3745.1172,8698.5410
293079926,2.1907,3754.8828,8225.6982
293079965,2.2962,3769.5313,8655.7539
293080005,2.2698,3750.0000,8511.9297
293080045,2.3754,3759.7656,8931.0313
293080084,2.2435,3745.1172,8402.0000
293080124,2.2171,3759.7656,8335.6289
293080163,2.2435,3759.7656,8434.8633
293080203,2.3754,3740.2344,8884.6357
293080243,2.4810,3740.2344,9279.5088
293080282,2.7449,3686.5234,10119.2580
293080323,2.5866,3691.4063,9548.0840
293080361,2.4546,3701.1719,9084.9072
293080401,2.4810,3720.7031,9231.0518
293080441,2.4810,3710.9375,9206.8232
293080480,2.4810,3715.8203,9218.9375
293080520,2.4546,3715.8203,9120.8633
293080559,2.3226,3750.0000,8709.8818
293080599,2.4282,3730.4688,9058.3594
293080639,2.4282,3740.2344,9082.0732
293080678,2.4282,3735.3516,9070.2168
293080718,2.2962,3750.0000,8610.9053
293080757,2.2435,3745.1172,8402.0000
293080797,2.3226,3754.8828,8721.2227
293080837,2.4282,3754.8828,9117.6426
293080876,2.4282,3730.4688,9058.3594
293080915,2.3754,3750.0000,8907.8330
293080954,2.3754,3745.1172,8896.2344
293080994,2.4282,3745.1172,9093.9297
293081033,2.5866,3662.1094,9472.3057
293081073,2.5074,3730.4688,9353.7412
293081113,2.2171,3745.1172,8303.1523
293081152,2.2962,3759.7656,8633.3301
293081192,2.4018,3715.8203,8924.7158
293081231,2.4282,3730.4688,9058.3594
293081271,2.2698,3735.3516,8478.6797
293081311,2.4546,3720.7031,9132.8486
293081350,2.4546,3662.1094,8989.0244
293081390,2.4282,3710.9375,9010.9336
293081428,2.5074,3730.4688,9353.7412
293081468,2.4282,3715.8203,9022.7900
293081508,2.4018,3750.0000,9006.8096
293081547,2.4282,3725.5859,9046.5029
293081587,2.4546,3720.7031,9132.8486
293081626,2.4282,3745.1172,9093.9297
293081666,2.4018,3750.0000,9006.8096
293081706,2.4810,3720.7031,9231.0518
293081745,2.4810,3740.2344,9279.5088
293081785,2.4018,3725.5859,8948.1719
293081824,2.4810,3730.4688,9255.2803
293081864,2.4282,3730.4688,9058.3594
293081904,2.4018,3745.1172,8995.0820
293081943,2.1907,3769.5313,8257.7881
293081982,2.2435,3750.0000,8412.9541
293082021,2.2962,3750.0000,8610.9053
293082061,2.4018,3720.7031,8936.4443
293082101,2.3226,3710.9375,8619.1543
293082140,2.2962,3725.5859,8554.8447
293082180,2.3226,3745.1172,8698.5410
293082219,2.4282,3710.9375,9010.9336
293082259,2.4018,3730.4688,8959.8994
293082298,2.4282,3701.1719,8987.2207
293082338,2.4810,3730.4688,9255.2803
293082378,2.4282,3876.9531,9414.0547
293082417,2.6130,3720.7031,9722.0654
293082457,2.4810,3730.4688,9255.2803
293082496,2.3226,3725.5859,8653.1768
293082535,2.4282,3740.2344,9082.0732
293082575,2.4018,3725.5859,8948.1719
293082614,2.4282,3730.4688,9058.3594
293082654,2.3226,3730.4688,8664.5176
293082693,2.4810,3754.8828,9315.8516
293082733,2.4546,3730.4688,9156.8193
293082773,2.5338,3740.2344,9476.9443
293082812,2.3490,3754.8828,8820.3281
293082852,2.3490,3745.1172,8797.3887
293082891,2.2962,3759.7656,8633.3301
293082931,2.3226,3710.9375,8619.1543
293082971,2.2698,3759.7656,8534.0957
293083010,2.1379,3750.0000,8017.0503
293083049,2.2435,3774.4141,8467.7256
293083088,2.3226,3745.1172,8698.5410
293083128,2.4018,3730.4688,8959.8994
293083168,2.2698,3740.2344,8489.7627
293083207,2.5602,3710.9375,9500.6582
293083247,2.5602,3720.7031,9525.6602
293083286,2.6658,3686.5234,9827.3564
293083326,2.7713,3666.9922,10162.4310
