1395,0.2?????&?000,965.0153
361875644,2.2962,3759.7656,8633.3301
361875684,2.2698,3740.2344,8489.7627
361875724,2.3226,3735.3516,8675.8594
361875763,2.1643,3779.2969,8179.4331
361875803,2.0323,3754.8828,7631.0698
361875842,2.1907,3745.1172,8204.3057
361875881,2.0851,3793.9453,7910.7290
361875921,2.0059,3774.4141,7571.1426
361875960,2.1379,3754.8828,8027.4893
361876000,2.2962,3764.6484,8644.5420
361876039,2.2435,3750.0000,8412.9541
361876079,2.2962,3730.4688,8566.0576
361876118,2.4282,3759.7656,9129.4990
361876158,2.2962,3735.3516,8577.2695
361876198,2.0851,3759.7656,7839.4609
361876237,2.1379,3798.8281,8121.4390
361876277,1.9795,3784.1797,7490.8540
361876316,2.1115,3735.3516,7887.1440
361876356,2.1907,3750.0000,8215.0020
361876396,2.0851,3784.1797,7890.3667
361876434,1.9795,3769.5313,7461.8569
361876474,2.1643,3789.0625,8200.5684
361876513,2.0851,3779.2969,7880.1855
361876553,2.0059,3769.5313,7561.3481
361876593,2.1115,3730.4688,7876.8340
361876632,2.2435,3759.7656,8434.8633
361876672,2.2698,3745.1172,8500.8467
361876711,2.3490,3735.3516,8774.4482
361876751,2.2171,3779.2969,8378.9307
361876791,2.1115,3779.2969,7979.9341
361876830,2.1379,3750.0000,8017.0503
361876870,2.3490,3764.6484,8843.2676
361876909,2.2171,3764.6484,8346.4541
361876948,2.1907,3750.0000,8215.0020
361876988,2.2435,3759.7656,8434.8633
361877027,2.3490,3735.3516,8774.4482
361877067,2.2962,3750.0000,8610.9053
361877106,2.2698,3862.3047,8766.8438
361877146,2.1907,3769.5313,8257.7881
361877186,2.2171,3769.5313,8357.2803
361877225,2.0851,3803.7109,7931.0913
361877265,2.1379,3774.4141,8069.2446
361877304,2.3226,3740.2344,8687.2002
361877344,2.2435,3759.7656,8434.8633
361877383,2.3490,3779.2969,8877.6777
361877423,2.4546,3720.7031,9132.8486
361877463,2.5338,3720.7031,9427.4570
361877501,2.2962,3745.1172,8599.6934
361877541,2.2962,3715.8203,8532.4209
361877580,2.1643,3779.2969,8179.4331
361877620,2.2962,3759.7656,8633.3301
361877660,1.9795,3789.0625,7500.5195
