8108??	r??5,4033.2031,958.0560
81104468,2.4018,3784.1797,9088.9033
81104506,2.3226,3764.6484,8743.9053
81104545,2.3226,3784.1797,8789.2686
81104583,2.2435,3764.6484,8445.8174
81104622,2.2435,3784.1797,8489.6348
81104661,2.4282,3764.6484,9141.3555
81104699,2.3226,3784.1797,8789.2686
81104738,2.2171,3764.6484,8346.4541
81104776,2.2435,3798.8281,8522.4980
81104815,2.2435,3774.4141,8467.7256
81104854,2.2962,3798.8281,8723.0273
81104891,2.1907,3769.5313,8257.7881
81104930,2.2435,3779.2969,8478.6807
81104968,2.3490,3764.6484,8843.2676
81105007,2.3490,3779.2969,8877.6777
81105045,2.4282,3754.8828,9117.6426
81105084,2.5074,3779.2969,9476.1719
81105123,2.3490,3754.8828,8820.3281
81105161,2.2698,3764.6484,8545.1797
81105200,2.3754,3769.5313,8954.2285
81105238,2.4546,3774.4141,9264.6875
81105276,2.3754,3764.6484,8942.6299
81105314,2.3490,3784.1797,8889.1475
81105353,2.4282,3774.4141,9165.0684
81105392,2.4018,3789.0625,9100.6309
81105430,2.2962,3759.7656,8633.3301
81105469,2.3754,3764.6484,8942.6299
81105507,2.3754,3769.5313,8954.2285
81105546,2.2698,3793.9453,8611.6787
81105585,2.2962,3764.6484,8644.5420
81105623,2.2698,3784.1797,8589.5117
81105661,2.2962,3784.1797,8689.3906
81105699,2.2435,3789.0625,8500.5889
81105738,2.2962,3754.8828,8622.1182
81105776,2.3754,3793.9453,9012.2217
81105815,2.2171,3774.4141,8368.1055
81105854,2.2435,3769.5313,8456.7715
81105892,2.3226,3769.5313,8755.2461
81105931,2.3490,3764.6484,8843.2676
81105969,2.3754,3764.6484,8942.6299
81106008,2.4282,3759.7656,9129.4990
81106045,2.4018,3764.6484,9041.9922
81106084,2.4282,3754.8828,9117.6426
81106123,2.3226,3759.7656,8732.5635
81106161,2.4282,3774.4141,9165.0684
81106200,2.2698,3754.8828,8523.0127
81106238,2.3754,3774.4141,8965.8271
81106277,2.3226,3774.4141,8766.5869
81106315,2.2962,3774.4141,8666.9658
81106354,2.3226,3764.6484,8743.9053
81106393,2.2962,3769.5313,8655.7539
81106430,2.2435,3784.1797,8489.6348
81106469,2.2962,3764.6484,8644.5420
81106507,2.2698,3784.1797,8589.5117
81106546,2.2698,3769.5313,8556.2627
81106585,2.4018,3764.6484,9041.9922
