2700???&	??15,4023.4375,2017.6654
270044689,2.3490,3750.0000,8808.8584
270044728,2.3490,3740.2344,8785.9180
270044768,2.2435,3735.3516,8380.0908
270044807,2.5338,3735.3516,9464.5732
270044847,2.4546,3725.5859,9144.8340
270044887,2.3226,3745.1172,8698.5410
270044925,2.2962,3740.2344,8588.4814
270044965,2.2171,3779.2969,8378.9307
270045004,2.2171,3774.4141,8368.1055
270045044,2.1379,3789.0625,8100.5610
270045083,2.1643,3769.5313,8158.2974
270045123,2.1115,3769.5313,7959.3140
270045163,2.2962,3764.6484,8644.5420
270045202,2.3754,3725.5859,8849.8398
270045242,2.4810,3745.1172,9291.6230
270045281,2.4810,3701.1719,9182.5947
270045321,2.6394,3725.5859,9833.1553
270045361,2.6394,3681.6406,9717.1680
270045400,2.6658,3710.9375,9892.4375
270045440,2.5866,3701.1719,9573.3438
270045478,2.4282,3720.7031,9034.6465
270045518,2.4546,3725.5859,9144.8340
270045558,2.5338,3745.1172,9489.3164
270045597,2.2698,3759.7656,8534.0957
270045637,2.1643,3803.7109,8232.2715
270045676,2.0587,3779.2969,7780.4360
270045716,2.2698,3774.4141,8567.3457
270045756,2.3754,3730.4688,8861.4385
270045795,2.1115,3769.5313,7959.3140
270045835,2.4018,3745.1172,8995.0820
270045874,2.3490,3735.3516,8774.4482
270045914,2.5338,3735.3516,9464.5732
270045954,2.4810,3710.9375,9206.8232
270045992,2.5074,3720.7031,9329.2549
270046032,2.6394,3696.2891,9755.8301
270046071,2.6921,3701.1719,9964.0928
270046111,2.7977,3662.1094,10245.5550
270046152,2.7713,3681.6406,10203.0260
270046192,2.7185,3686.5234,10021.9570
270046233,2.7185,3686.5234,10021.9570
270046273,2.6658,3691.4063,9840.3721
270046313,2.4546,3735.3516,9168.8047
270046353,2.4282,3715.8203,9022.7900
270046392,2.3226,3774.4141,8766.5869
270046432,2.3226,3750.0000,8709.8818
270046471,2.3226,3779.2969,8777.9277
270046511,2.0323,3779.2969,7680.6865
270046551,2.1115,3754.8828,7928.3843
270046589,2.1379,3779.2969,8079.6836
270046629,2.3226,3730.4688,8664.5176
270046668,2.4018,3759.7656,9030.2646
270046708,2.5074,3701.1719,9280.2822
270046747,2.5866,3740.2344,9674.3818
270046787,2.6658,3671.8750,9788.3066
270046827,2.5866,3725.5859,9636.4922
270046866,2.5602,3696.2891,9463.1553
270046906,2.4810,3740.2344,9279.5088
270046945,2.5074,3798.8281,9525.1445
270046985,2.5338,3735.3516,9464.5732
270047025,2.4810,3720.7031,9231.0518
270047064,2.4282,3754.8828,9117.6426
270047104,2.4282,3725.5859,9046.5029
270047142,2.4810,3735.3516,9267.3945
270047182,2.6658,3691.4063,9840.3721
270047222,2.4810,3735.3516,9267.3945
270047261,2.3754,3730.4688,8861.4385
270047301,2.4282,3720.7031,9034.6465
270047340,2.3754,3745.1172,8896.2344
270047380,2.2962,3740.2344,8588.4814
270047420,2.2698,3764.6484,8545.1797
270047459,2.2962,3730.4688,8566.0576
270047499,2.5338,3750.0000,9501.6885
270047538,2.5074,3725.5859,9341.4980
270047578,2.5074,3740.2344,9378.2275
270047618,2.4810,3725.5859,9243.1660
270047656,2.5602,3720.7031,9525.6602
270047696,2.4282,3715.8203,9022.7900
270047735,2.2435,3754.8828,8423.9082
270047775,2.2962,3759.7656,8633.3301
270047815,2.2962,3750.0000,8610.9053
270047854,2.3490,3759.7656,8831.7979
270047894,2.3754,3720.7031,8838.2412
270047933,2.3490,3754.8828,8820.3281
270047973,2.4018,3696.2891,8877.8057
270048012,2.4810,3725.5859,9243.1660
270048052,2.6130,3706.0547,9683.7900
270048092,2.6130,3701.1719,9671.0313
270048131,2.6658,3671.8750,9788.3066
270048171,2.8241,3691.4063,10424.9490
270048210,2.6394,3686.5234,9730.0557
270048250,2.5866,3710.9375,9598.6035
270048290,2.5074,3730.4688,9353.7412
270048329,2.5338,3710.9375,9402.7129
270048369,2.4282,3730.4688,9058.3594
270048408,2.2698,3764.6484,8545.1797
270048448,2.2962,3759.7656,8633.3301
270048488,2.1907,3784.1797,8289.8779
270048527,2.3490,3735.3516,8774.4482
270048567,2.2171,3764.6484,8346.4541
270048606,2.2171,3750.0000,8313.9775
270048646,2.3490,3730.4688,8762.9785
270048686,2.5866,3710.9375,9598.6035
270048724,2.6394,3696.2891,9755.8301
270048764,2.5338,3725.5859,9439.8291
270048803,2.5074,3725.5859,9341.4980
270048843,2.5074,3720.7031,9329.2549
270048883,2.5074,3715.8203,9317.0117
270048922,2.4282,3715.8203,9022.7900
270048962,2.4018,3745.1172,8995.0820
270049001,2.5866,3720.7031,9623.8623
270049041,2.5866,3696.2891,9560.7139
270049081,2.5602,3696.2891,9463.1553
270049120,2.4018,3735.3516,8971.6270
270049160,2.4546,3745.1172,9192.7754
270049199,2.4546,3730.4688,9156.8193
270049239,2.2435,3754.8828,8423.9082
270049277,2.2171,3779.2969,8378.9307
270049317,2.1379,3779.2969,8079.6836
270049357,2.4282,3740.2344,9082.0732
270049396,2.2435,3745.1172,8402.0000
270049436,2.2962,3769.5313,8655.7539
270049475,2.2171,3720.7031,8249.0254
270049515,2.2698,3759.7656,8534.0957
270049555,2.4282,3720.7031,9034.6465
270049594,2.4810,3745.1172,9291.6230
270049634,2.5338,3725.5859,9439.8291
270049673,2.6658,3701.1719,9866.4053
270049713,2.8505,3681.6406,10494.5420
270049754,2.7185,3681.6406,10008.6830
